ID imp_con imp_vac i_con i_vac
1 41540053.1622229 40341377.3790709 789578.344517386 702453.518312534
2 41287589.7500932 40427225.4396641 729324.626022774 665233.198058743
3 41804575.2176022 40491151.6877961 806435.161683481 710967.834195904
4 41876488.1255987 40662090.5541792 789537.450359495 699634.947412368
5 38526604.2944535 37764062.8280753 683884.24918977 627692.669647058
6 43271941.2878185 41826421.9597146 837909.176715041 732820.444043985
7 42316737.6692971 40868537.5521654 820867.987322201 713929.567109926
8 34422605.3980626 33576359.0143916 588975.841330755 528502.281328484
9 40308696.9561453 39444758.0894131 718663.55816278 654838.643518329
10 46528269.1784762 45116771.7401784 934108.364848385 827939.395355003
11 44072808.2232199 42898675.579367 860311.002823308 771624.825802641
12 45322105.4188496 44208932.875357 898253.882483825 814640.56506185
13 44252841.6642362 43015979.0527731 871176.20090767 780541.176559395
14 39832633.5403122 38741452.8747387 754335.165832549 675255.138881675
15 45282069.1589159 43819033.4247897 922838.869132866 813394.567606964
16 44406171.2877519 43191853.3337394 909698.927536065 820260.164754365
17 40934864.9799924 39780209.892749 781771.943296042 697596.7040851
18 39114916.5380576 38035338.4465262 764445.650918943 686913.602517522
19 46102263.0729804 44435311.8256674 945084.098052146 823551.494367242
20 38997489.4869396 38192936.3243552 689935.519145555 630311.454109494
21 43133571.0312844 41928422.596197 823014.186757435 733129.6004073
22 39409958.1429643 38499626.1725407 706301.437764433 638950.060075383
23 38282001.2352576 36905791.181595 715506.875953359 618465.066588105
24 41777803.0146495 40447897.486451 819342.199045159 723621.404355862
25 38024460.1766749 36899732.3866079 657351.976221359 575357.52484009
26 42352413.7879825 41144012.0984151 806991.126056926 718424.573156233
27 43083826.367573 41538239.8622729 865147.695626533 752432.485571889
28 45373134.1479064 44336627.4120847 911421.470840465 834191.366410043
29 42506126.9796559 41102309.7284612 811236.242901702 707896.252160628
30 42153888.1216023 41226204.7135538 784281.546844393 714984.224722823
31 44410295.312786 43048901.0376217 897032.559780437 796345.920320249
32 42969940.3625413 41737174.0056111 835953.591985993 744671.338051026
33 39745952.5484309 38640925.4877405 749588.233083697 669799.369353395
34 41924386.6480886 40686510.3635047 767821.92549658 676957.089732404
35 44883242.2743867 43794715.6911374 856677.700679073 775642.151608744
36 40715707.0586927 39585175.1203698 781312.450310294 698787.201342387
37 42243081.8551826 40978960.6117639 815939.078166437 723341.078678414
38 41789636.8991317 40352196.4870827 815468.929285327 710966.711106404
39 46661895.3217076 45175149.5965377 928740.013836177 820683.757827673
40 44209225.6019436 42917480.8749172 897297.355149819 803174.414973981
41 43727299.1900215 42430480.8789568 887765.549191993 791927.399824086
42 37296437.3596305 36347718.5649571 659217.767979142 591037.089195377
43 39884478.7737834 38858877.4782332 760031.402598206 685802.714600596
44 38273405.5584754 37253780.476965 684295.030669771 610728.121097581
45 41430640.4023346 40514809.6819746 727755.579227912 659686.218032498
46 45717488.4015106 44380445.3470409 897485.233327752 798145.105994214
47 45413400.4688662 44177842.6911617 884950.8420713 793325.791407049
48 39780806.0504628 38775203.0058718 742906.236133483 669684.213304868
49 41086058.0388232 40008733.5598509 736076.991102467 657426.265382874
