ID imp_con imp_vac i_con i_vac
1 41540053.1622229 41016338.4393739 789578.344517386 767260.536431852
2 41287589.7500932 40951768.2988412 729324.626022774 715103.970855461
3 41804575.2176022 41299925.6461391 806435.161683481 784908.514929292
4 41876488.1255987 41435576.6792556 789537.450359495 770158.312031587
5 38526604.2944535 38110316.7729889 683884.24918977 666012.092048091
6 43271941.2878185 42953128.7885792 837909.176715042 824905.293084348
7 42316737.6692971 41886454.4469611 820867.987322201 802446.462016281
8 34422605.3980626 34038363.2276189 588975.841330755 573299.811413811
9 40308696.9561453 39955335.0538644 718663.55816278 703387.829458107
10 46528269.1784762 45962188.1865047 934108.364848385 909182.520029013
11 44072808.2232199 43609122.838183 860311.002823309 839575.44557335
12 45322105.4188496 44885596.0943912 898253.882483825 878664.045815584
13 44252841.6642362 43725535.4309577 871176.20090767 849072.744497045
14 39832633.5403122 39352508.7579213 754335.165832548 733353.452239163
15 45282069.1589159 44744115.8948504 922838.869132866 899143.27166639
16 44406171.2877519 43810709.5021512 909698.927536065 883757.52011553
17 40934864.9799924 40465072.340443 781771.943296042 762021.574999941
18 39114916.5380576 38425617.1143803 764445.650918943 736960.78757124
19 46102263.0729804 45355819.7924636 945084.098052146 913563.362904525
20 38997489.4869396 38603636.4151028 689935.519145555 672879.317414249
21 43133571.0312844 42817634.3561485 823014.186757435 809488.235793723
22 39409958.1429643 39029725.2398543 706301.437764433 690175.51593015
23 38282001.2352576 37871971.5652105 715506.87595336 699482.410844366
24 41777803.0146495 41349405.4952014 819342.199045158 801798.86069752
25 38024460.1766749 37726541.9479153 657351.976221359 645045.715752563
26 42352413.7879825 41870999.6012848 806991.126056926 786452.205184295
27 43083826.367573 42391962.7621842 865147.695626533 834975.690236742
28 45373134.1479064 44962698.6113481 911421.470840465 893252.887401502
29 42506126.9796559 41969545.1294433 811236.242901702 788177.323098853
30 42153888.1216023 41772605.2592094 784281.546844393 767668.680611326
31 44410295.312786 43936882.6475596 897032.559780437 877095.413770258
32 42969940.3625413 42533367.7180539 835953.591985993 816893.445384984
33 39745952.5484309 39180310.6614804 749588.233083697 725303.606161681
34 41924386.6480886 41529199.7584432 767821.92549658 751827.425661304
35 44883242.2743867 44379181.4132536 856677.700679073 834392.545291841
36 40715707.0586927 40182804.8325543 781312.450310294 758995.433658415
37 42243081.8551826 41804204.2413187 815939.078166437 797099.736824252
38 41789636.8991317 41178728.924114 815468.929285327 789950.614051163
39 46661895.3217076 46022356.4430462 928740.013836177 902369.566459288
40 44209225.6019436 43466569.1671233 897297.355149819 866860.550365499
41 43727299.1900215 43131295.7076887 887765.549191992 861772.326245503
42 37296437.3596305 36783520.6217772 659217.767979142 637681.572107883
43 39884478.7737834 39487355.2132197 760031.402598207 743201.677380039
44 38273405.5584754 37929357.8814014 684295.030669771 670339.897295745
45 41430640.4023346 41133081.5877693 727755.579227912 715152.947173688
46 45717488.4015106 45192119.2062273 897485.233327753 874954.225062436
47 45413400.4688662 44795964.2960609 884950.8420713 858306.715805592
48 39780806.0504628 39353340.8274496 742906.236133483 724672.569134621
49 41086058.0388232 40687651.5555112 736076.991102468 719138.167441258
50 41589098.5904577 41050067.415278 795511.0773115 772228.267071213
51 44260246.7939322 43744951.9788296 876098.471028649 853710.662801041
