ID imp_con imp_vac i_con i_vac
1 41540053.1622229 41467492.2641465 789578.344517386 782917.423244029
2 41287589.7500932 41267992.088067 729324.626022774 727533.150140967
3 41804575.2176022 41415677.900892 806435.161683481 770091.524012482
4 41876488.1255987 41807683.8646929 789537.450359495 783207.724029495
5 38526604.2944535 38376206.1499832 683884.24918977 670202.129411741
6 43271941.2878185 43230439.5375103 837909.176715042 833976.199199971
7 42316737.6692971 41964669.5002869 820867.987322201 787889.293263049
8 34422605.3980626 34142144.7342845 588975.841330755 563237.235632084
9 40308696.9561453 39914323.9912459 718663.55816278 683414.025663756
10 46528269.1784762 46389711.5742515 934108.364848385 921166.303269759
11 44072808.2232199 44066496.0863745 860311.002823309 859732.915418494
12 45322105.4188496 45005478.3251585 898253.882483825 870001.426422419
13 44252841.6642362 44006705.6475471 871176.20090767 847144.186915433
14 39832633.5403122 39447539.9727032 754335.165832548 719014.370938591
15 45282069.1589159 45249585.1221035 922838.869132866 919804.596677227
16 44406171.2877519 44120666.9705433 909698.927536065 882392.139908194
17 40934864.9799924 40595721.3837319 781771.943296042 749766.82013869
18 39114916.5380576 38817069.4216369 764445.650918943 735519.625532234
19 46102263.0729804 45708538.5266255 945084.098052146 906923.305173661
20 38997489.4869396 38670241.9005681 689935.519145555 660141.351614482
21 43133571.0312844 43013358.4982592 823014.186757435 811888.348202744
22 39409958.1429643 39084557.0417953 706301.437764433 676634.286329257
23 38282001.2352576 38225504.1262338 715506.87595336 710199.173929138
24 41777803.0146495 41383866.3951147 819342.199045158 782119.575551903
25 38024460.1766749 37885986.1165963 657351.976221359 644887.597794362
26 42352413.7879825 42007696.301058 806991.126056926 775806.043405456
27 43083826.367573 42926598.1063774 865147.695626533 849853.863867402
28 45373134.1479064 44962147.8776622 911421.470840465 873764.424237486
29 42506126.9796559 42274897.699885 811236.242901702 789259.836341867
30 42153888.1216023 41893957.0652486 784281.546844393 760669.465323879
31 44410295.312786 44057526.7247141 897032.559780437 863739.957615232
32 42969940.3625413 42798128.6464427 835953.591985993 819886.531226894
33 39745952.5484309 39714574.3726484 749588.233083697 746591.158538017
34 41924386.6480886 41563856.8683724 767821.92549658 734510.31369092
35 44883242.2743867 44415993.5925763 856677.700679073 815677.933133646
36 40715707.0586927 40483409.5314859 781312.450310294 759068.091504575
37 42243081.8551826 41932953.2593069 815939.078166437 787467.728119334
38 41789636.8991317 41756335.2532198 815468.929285327 812309.060795239
39 46661895.3217076 46437671.8038499 928740.013836177 907685.227095127
40 44209225.6019436 43795073.9138208 897297.355149819 856657.85466405
41 43727299.1900215 43504256.6963654 887765.549191992 866139.469746458
42 37296437.3596305 36937208.7832601 659217.767979142 626793.946067257
43 39884478.7737834 39663573.6468448 760031.402598207 740089.740529959
44 38273405.5584754 38144223.3070992 684295.030669771 672301.1960504
45 41430640.4023346 41381323.107909 727755.579227912 723367.435111516
46 45717488.4015106 45412227.3967425 897485.233327753 869104.622522855
47 45413400.4688662 44955897.9915838 884950.8420713 842679.306078642
48 39780806.0504628 39506600.8417915 742906.236133483 717646.767157112
49 41086058.0388232 40688468.6215008 736076.991102468 700023.86228135
50 41589098.5904577 41348810.7535934 795511.0773115 772532.901393798
51 44260246.7939322 43978313.0301614 876098.471028649 849813.889450974
52 43079192.7753949 42759284.0016924 818699.573952763 788798.071325872
53 41870876.6697398 41618482.435116 799951.510961651 776873.720418995
54 41016008.4782846 40655272.0287163 760187.164272952 726928.645279955
55 42192516.2429662 41908417.8942159 817149.8974757 790308.884818795
56 44946432.2396721 44665999.2620507 812673.384233556 787449.415010583
57 35483116.4693477 35178090.9643746 575663.767845528 547648.267673222
58 42953879.8705708 42537748.5664871 839739.869265233 800946.303606575
59 40588161.3486135 40561280.3181584 748338.967346991 745871.981071588
60 45576798.4591487 45332665.9776426 914787.186619819 891877.013029404
61 38572687.9517994 38262060.0457585 673061.832947032 645478.696229912
62 41902194.510258 41688964.9282173 858027.753662237 837354.375353234
63 40457542.879138 40411199.4257605 793324.704340144 788841.040455513
64 45230729.5656293 44980070.5589929 888871.103027957 865767.493906236
65 42309382.5493337 41792516.4173147 780175.03462388 734409.084362652
66 44901306.3412559 44785352.0153786 871815.487138354 860881.314996908
67 42708484.0683084 42625160.6723553 798656.815443086 790830.304323674
68 40532717.7196186 40219444.9229516 774701.867070944 745565.122694829
69 47563619.1363021 47174737.783137 1012770.34533647 974962.907736515
70 43750324.3237 43486051.9321119 841401.442445161 816183.190886824
71 37810956.8900929 37520932.59527 676164.347925036 649512.172759697
72 42433329.9509944 42306252.1856669 812964.505581097 801340.464406104
73 45674204.849474 45274180.751569 899776.093505898 863377.79566487
74 44324006.111546 44100035.2089349 914619.484291263 892917.538569144
75 33239521.1989135 33018180.7780979 536215.711465164 516044.296030543
76 41576993.9455525 41325382.916744 780787.52142 757264.511740316
77 43867183.1844866 43801090.0627115 850861.092674652 844594.709372562
78 45200063.2851914 44938921.5228497 878188.722382001 854304.718123432
79 40798658.4664284 40794108.074365 775657.573782497 775232.384687554
80 36956348.358799 36533425.4007029 662991.81424213 625177.84949858
81 38098795.7043919 37936395.9890982 671986.070194475 657114.446889777
82 36611242.8992226 36457924.7244904 638924.003652805 624579.376922887
83 44402287.7417651 44022175.8254184 890779.406151029 855486.083168899
84 38516140.2024893 38368058.2122932 646347.602601535 632445.110808685
85 42424760.1050237 42355072.2573959 767033.092002676 760733.565388001
86 40176286.2643132 39917519.4903022 698474.118137581 674296.392929339
87 39616655.8361999 39428511.3975533 774559.908381118 756889.160296512
88 42678287.0895118 42497140.8841711 820117.653325376 803133.266670283
89 40645638.0679581 40323624.4742099 726172.576057481 697067.871392271
90 43687465.133946 43404510.8179169 879601.793425782 852351.380185915
91 41098421.0279188 41071434.3813605 809213.996232486 806689.465629402
92 40380530.5174054 40140725.2105875 773009.238222022 750416.270683784
93 37652540.7150853 37360985.614191 648910.411783545 622104.46579122
94 40837552.2977298 40768582.258893 793051.013722194 786527.994346772
95 41088490.3997904 40725058.2351404 789748.739102851 755513.406219413
96 37205369.12926 37110952.8477626 680232.358675448 671086.19641581
97 43858759.5499651 43605403.0017916 855995.91151102 831850.861904765
98 44509987.5375544 44426897.814901 975824.043282748 967675.980804149
99 40921942.1879363 40797192.7710713 769031.610039783 757528.951492781
100 41153016.3956631 41017868.2629919 763359.991836352 750995.089378322
101 37447425.9313719 37238736.8072937 683483.009007315 664006.150263204
102 46074263.7577868 45944210.8533014 925529.450050647 913524.197311149
103 38686898.0548828 38337221.0551607 698971.625323797 666956.819143512
104 42052589.1050221 41979970.7826633 791297.121814118 784518.0785536
105 44437889.5057368 44410858.1725004 868877.506228879 866395.265347479
106 42133915.9870594 41797071.1860503 824961.53885971 792674.296495497
107 41544734.0547496 41438976.6896884 777951.666963529 768081.01086843
108 37018429.3770435 36597903.9504077 655398.156030205 616522.973315107
109 40807070.1614535 40458625.1155737 783057.908298589 750608.290982336
110 38371538.3194333 38193689.4781628 700491.02436788 683887.627423872
111 42025502.5284398 41901773.004753 812221.322786644 800600.88581848
112 41216397.7868555 40849278.1826917 802853.448633911 767784.535496436
113 44266354.6347717 43839797.0623949 863570.353255481 824272.589390557
114 46924836.7474615 46544884.6099808 934181.301101315 899161.483770357
115 46241775.1772353 46002126.2804574 945421.067920751 922834.959965365
116 43534197.6892735 43332367.9174433 846365.226047573 827839.328134071
117 42325291.0835022 42251471.3997197 832292.912936859 825381.685308385
118 38026646.1501627 37799865.7771287 694982.864163816 673755.01950551
119 36543875.1092096 36424118.0252731 644933.242754169 633536.847546803
120 38004611.4583484 37795433.0872908 680013.795098687 660629.619158419
121 37207149.3841252 36993395.4152489 638323.286054759 619578.556595601
122 43569875.8378762 43431358.993016 865493.345019265 851963.390008305
123 41402700.3397969 41321913.327048 767772.635706196 760030.40642536
124 32530789.7535908 32364780.0115747 481030.45845891 466422.443065013
125 40076691.78584 39942331.8757203 741488.002652956 728817.090426355
126 41028937.9281371 40899590.0872939 820237.043752267 807299.515544201
127 37871741.9511795 37500349.1724987 695375.602663594 661033.387569606
128 41554969.5456187 41249086.4707763 823493.980178263 794859.233099218
129 43251573.3526299 43208309.5461798 849610.49466162 845579.740734875
130 36612696.9958759 36527452.7155562 679194.187039501 671235.596019944
131 39998221.0713784 39735270.0237493 773875.559689563 748857.096978945
132 41374279.274179 41222632.3247416 772830.786835895 758872.387139885
133 46217132.7259589 46106976.5490527 949197.659436889 938528.255647545
134 41674628.121158 41435772.6728551 721687.179290155 699929.582057655
135 44843061.976181 44440093.0145406 874722.989101883 838636.00629066
136 41079826.1465716 40988528.4608863 773569.872039026 764734.357343469
137 41013706.7084466 40668724.9437005 781641.855643509 749782.019015612
138 37521628.3806359 37030988.6783579 653324.709086994 609398.221362614
139 43370724.460781 43243060.7421245 854610.512517439 842927.614089922
140 39584399.3511428 39256115.713325 669709.433749378 639484.65591815
141 45201374.193122 45139994.3559089 877423.252016347 871791.610048751
142 45939788.7364864 45633713.5193916 915950.277496855 887311.832948976
143 43243667.6964244 42860627.9950078 853695.341870611 817836.071660796
144 41152849.9986258 40940087.5771988 726376.988581717 706155.073360465
145 44095392.8542373 43831229.388804 878660.662635114 853637.717320046
146 39651125.0985073 39527440.0944134 728748.075543832 717320.383658528
147 43034340.0789133 42830791.631473 814520.408369833 795610.725675091
148 37142888.5037648 36877139.6577346 642411.60439287 618414.969989208
149 44655001.2405436 44417749.1407432 944349.908529784 920547.10072988
150 39081141.6324517 39071962.0463786 706021.388358314 705175.424015005
151 45428219.2503354 44945152.0868103 919354.419458616 873636.712478587
152 40831678.2082712 40581715.0739407 768910.303424838 745669.59930309
153 46470366.2204034 46278685.5907171 977906.492397539 959171.748267862
154 40974457.9982604 40543412.1029658 773976.022187063 733228.798806165
155 43576198.4875294 43527089.6135701 884610.087582276 879966.436667463
156 43212965.5697827 42917618.8301931 847557.80342883 818802.933592753
157 40900333.3592574 40829461.8989597 760860.650791343 754232.296807059
158 39532793.5477191 39123105.7236103 759948.782852437 721930.020237093
159 38495690.7033674 38274639.0737442 689563.164253491 669285.181499261
160 42705655.8078636 42454219.3063473 815596.968324607 792042.794418695
161 44035139.8129095 43855186.076167 915686.369112645 898225.31880708
162 37723754.071141 37369504.5874749 665008.134371867 632586.672902109
163 42821726.3107655 42788831.8364291 826475.337835902 823355.274789939
164 36350316.7016118 36112595.9755751 632906.463269123 611052.523856374
165 41806537.8918555 41802001.3627526 812009.214004369 811579.936822816
166 41200043.775327 40946464.2750642 782468.268927173 758143.924490485
167 44488787.1586418 44163863.2799194 902329.42729007 871515.530101718
