ID imp_con imp_vac i_con i_vac
1 41540053.1622229 40282770.2947623 789578.344517386 698231.739648919
2 41287589.7500932 40434790.1660639 729324.626022774 665793.927935069
3 41804575.2176022 40478750.3945094 806435.161683481 710074.070018541
4 41876488.1255987 40782202.4357661 789537.450359495 708464.235467666
5 38526604.2944535 37668908.7289176 683884.24918977 620717.603513029
6 43271941.2878185 41740885.6543642 837909.176715042 726664.308634526
7 42316737.6692971 41046473.3602231 820867.987322201 726945.756824195
8 34422605.3980626 33641891.7293023 588975.841330755 533157.014591934
9 40308696.9561453 39405299.3351217 718663.55816278 651940.012912746
10 46528269.1784762 45034044.6041543 934108.364848385 821778.516396389
11 44072808.2232199 43058877.7983413 860311.002823309 783642.907173741
12 45322105.4188496 44203714.3780769 898253.882483825 814250.849699351
13 44252841.6642362 42977906.4432565 871176.20090767 777774.14048788
14 39832633.5403122 38880979.5971706 754335.165832548 685308.23847393
15 45282069.1589159 43696336.0202852 922838.869132866 804317.631436254
16 44406171.2877519 43108614.3399421 909698.927536065 814184.683002655
17 40934864.9799924 39953265.7712553 781771.943296042 710128.708605822
18 39114916.5380576 37825512.3002872 764445.650918943 672008.328380754
19 46102263.0729804 44615060.6373461 945084.098052146 836510.912932902
20 38997489.4869396 38387411.7081341 689935.519145555 644670.310312971
21 43133571.0312844 41992536.9886264 823014.186757435 737879.039811945
22 39409958.1429643 38544310.9148395 706301.437764433 642239.958333075
23 38282001.2352576 37136544.1405995 715506.87595336 634597.915316501
24 41777803.0146495 40386440.3831781 819342.199045158 719245.235802939
25 38024460.1766749 37003001.3553715 657351.976221359 582835.565225668
26 42352413.7879825 41065732.1676727 806991.126056926 712735.306839958
27 43083826.367573 41644272.2131447 865147.695626533 760074.163250623
28 45373134.1479064 44246724.7272102 911421.470840465 827532.326598082
29 42506126.9796559 41002174.3389946 811236.242901702 700612.648752093
30 42153888.1216023 41167851.621249 784281.546844393 710644.467919164
31 44410295.312786 42984765.9007098 897032.559780437 791649.519780389
32 42969940.3625413 41562089.2224079 835953.591985993 731817.248088625
33 39745952.5484309 38652881.862678 749588.233083697 670656.768943535
34 41924386.6480886 40643334.8560521 767821.92549658 673815.534829993
35 44883242.2743867 43668340.0845583 856677.700679073 766295.367198893
36 40715707.0586927 39581526.7848443 781312.450310294 698523.197629842
37 42243081.8551826 41150404.5043384 815939.078166437 735810.173742947
38 41789636.8991317 40438072.6262922 815468.929285327 717148.64260594
39 46661895.3217076 44979068.8677569 928740.013836177 806597.859427579
40 44209225.6019436 42847507.618085 897297.355149819 798121.116058765
41 43727299.1900215 42454362.7576925 887765.549191992 793675.127700808
42 37296437.3596305 36336997.2342577 659217.767979142 590271.407034368
43 39884478.7737834 38875996.1954656 760031.402598207 687034.107317383
44 38273405.5584754 37100008.1013002 684295.030669771 599730.211381862
45 41430640.4023346 40395202.1200342 727755.579227912 650841.984736404
46 45717488.4015106 44325096.9915609 897485.233327753 794071.101509582
47 45413400.4688662 44004507.0133197 884950.8420713 780582.654514988
48 39780806.0504628 38786228.3261788 742906.236133483 670481.972962063
49 41086058.0388232 40075482.9707202 736076.991102468 662267.547848746
50 41589098.5904577 40468071.9792331 795511.0773115 713695.938764579
51 44260246.7939322 42979751.6404923 876098.471028649 780476.709971158
52 43079192.7753949 41552480.9212787 818699.573952763 708256.344739564
53 41870876.6697398 40802319.6685164 799951.510961651 721355.903772234
54 41016008.4782846 39695728.9713408 760187.164272952 662441.291361701
55 42192516.2429662 40941489.3475823 817149.8974757 724214.048813763
56 44946432.2396721 43437045.8134997 812673.384233556 704884.436758444
57 35483116.4693477 34591464.3321864 575663.767845528 511321.595202452
58 42953879.8705708 41676462.9781135 839739.869265233 744265.697274332
59 40588161.3486135 39420399.5296154 748338.967346991 662184.448595069
60 45576798.4591487 44025530.5815123 914787.186619819 799159.530278911
61 38572687.9517994 37763112.207804 673061.832947032 612800.165382426
62 41902194.510258 40360221.2862223 858027.753662237 746761.828974667
63 40457542.879138 39293705.4834044 793324.704340144 709597.453497621
64 45230729.5656293 43889211.762033 888871.103027957 790942.652338073
65 42309382.5493337 41167874.5960781 780175.03462388 694852.006957418
66 44901306.3412559 43880538.3754274 871815.487138354 794913.679367837
67 42708484.0683084 41596212.1756181 798656.815443086 716716.940901687
68 40532717.7196186 39404895.1826986 774701.867070944 692641.755367685
69 47563619.1363021 46235799.5726034 1012770.34533647 913096.064867159
70 43750324.3237 42533167.2059808 841401.442445161 751282.313079089
71 37810956.8900929 36971257.5544684 676164.347925036 614703.403534841
72 42433329.9509944 41201313.82568 812964.505581097 721873.464861954
73 45674204.849474 44557601.5339256 899776.093505898 815286.673976945
74 44324006.111546 43148768.4844251 914619.484291263 827447.692631162
75 33239521.1989135 32498336.398849 536215.711465164 483458.587718655
76 41576993.9455525 40203701.3369166 780787.52142 679952.337824883
77 43867183.1844866 42783999.3435529 850861.092674652 770363.204379325
78 45200063.2851914 44012461.3029654 878188.722382001 791300.010517871
79 40798658.4664284 39317169.9704199 775657.573782497 670044.639302655
80 36956348.358799 35870210.5829187 662991.81424213 584754.025153494
81 38098795.7043919 37231135.350435 671986.070194475 607738.193456732
82 36611242.8992226 35697126.135509 638924.003652805 572719.879241124
83 44402287.7417651 43184690.8992397 890779.406151029 800161.548607283
84 38516140.2024893 37850191.9290563 646347.602601535 597792.322462512
85 42424760.1050237 41105167.9212789 767033.092002676 670506.47869718
86 40176286.2643132 39163603.4814489 698474.118137581 624667.892606049
87 39616655.8361999 38531255.454253 774559.908381118 695923.617579737
88 42678287.0895118 41477467.3632527 820117.653325376 731111.687379144
89 40645638.0679581 39609622.8297721 726172.576057481 650181.599306416
90 43687465.133946 42138616.3975941 879601.793425782 766934.787348476
91 41098421.0279188 40132585.1436282 809213.996232486 738915.739567605
92 40380530.5174054 39377203.762284 773009.238222022 700612.49315
93 37652540.7150853 36837467.7709343 648910.411783545 589423.315626033
94 40837552.2977298 39567909.737976 793051.013722194 700366.28486103
95 41088490.3997904 39771443.5721912 789748.739102851 694571.267441514
96 37205369.12926 36350954.3312597 680232.358675448 618951.720020491
97 43858759.5499651 42920174.9218867 855995.91151102 786901.088827244
98 44509987.5375544 42628479.7613604 975824.043282748 838804.274716381
99 40921942.1879363 40000576.364079 769031.610039783 701379.114228515
100 41153016.3956631 40040325.0555668 763359.991836352 681224.21279646
101 37447425.9313719 36641127.8238928 683483.009007315 624940.010116394
102 46074263.7577868 44689816.5890418 925529.450050647 822053.443731353
103 38686898.0548828 37488393.1760534 698971.625323797 611994.182639362
104 42052589.1050221 40915966.0483538 791297.121814118 708535.531801192
105 44437889.5057368 43381374.1422178 868877.506228879 789125.459452361
106 42133915.9870594 40478224.9612648 824961.53885971 707948.426612257
107 41544734.0547496 40354981.360618 777951.666963529 689419.03695739
108 37018429.3770435 35843686.0452485 655398.156030205 571436.854307815
109 40807070.1614535 39875947.3392608 783057.908298589 714657.599019727
110 38371538.3194333 37416439.7283694 700491.02436788 631061.142215637
111 42025502.5284398 40597550.9947381 812221.322786644 707699.490417282
112 41216397.7868555 39982666.8812973 802853.448633911 713848.742833914
113 44266354.6347717 42976598.8619282 863570.353255481 767350.211055448
114 46924836.7474615 45342089.887124 934181.301101315 816284.320534082
115 46241775.1772353 44971343.2654761 945421.067920751 850098.155591812
116 43534197.6892735 42419784.41283 846365.226047573 762232.724856904
117 42325291.0835022 41171913.1729158 832292.912936859 747964.205419766
118 38026646.1501627 37109438.2191246 694982.864163816 628373.798811179
119 36543875.1092096 35805514.9121226 644933.242754169 591913.461783174
120 38004611.4583484 37122405.8049901 680013.795098687 615632.421420354
121 37207149.3841252 36383505.8871484 638323.286054759 577566.718216325
122 43569875.8378762 42341686.7897917 865493.345019265 775835.224511644
123 41402700.3397969 40269030.3328071 767772.635706196 685224.894965946
124 32530789.7535908 31947573.1691265 481030.45845891 439003.004454699
125 40076691.78584 38996325.2864928 741488.002652956 661813.06774465
126 41028937.9281371 39759999.7584636 820237.043752267 729664.596426731
127 37871741.9511795 36866053.5066978 695375.602663594 622374.651703691
128 41554969.5456187 40219786.3139854 823493.980178263 726001.967027799
129 43251573.3526299 42135151.3844847 849610.49466162 766439.313335418
130 36612696.9958759 35607401.8686129 679194.187039501 607484.187393781
131 39998221.0713784 39045674.6329325 773875.559689563 704635.353797964
132 41374279.274179 40236949.982848 772830.786835895 688757.261588187
133 46217132.7259589 44612756.1502634 949197.659436889 830052.378921516
134 41674628.121158 40813318.1695051 721687.179290155 658413.752260113
135 44843061.976181 43483531.9846776 874722.989101883 775514.385084788
136 41079826.1465716 39969949.7851493 773569.872039026 692523.322022154
137 41013706.7084466 40132714.5686727 781641.855643509 716828.015209629
138 37521628.3806359 36551875.1766699 653324.709086994 582799.069543429
139 43370724.460781 42375119.2333357 854610.512517439 780422.426357459
140 39584399.3511428 38531535.8655428 669709.433749378 593523.882200461
141 45201374.193122 44128851.6774818 877423.252016347 796849.690427532
142 45939788.7364864 44359010.6327366 915950.277496855 798219.612410153
143 43243667.6964244 42361483.5977986 853695.341870611 787702.106649484
144 41152849.9986258 40130173.4363919 726376.988581717 650645.457788186
145 44095392.8542373 42487182.5196329 878660.662635114 761432.305687308
146 39651125.0985073 38405430.4483512 728748.075543832 638142.351689278
147 43034340.0789133 42043959.9868343 814520.408369833 740801.089525456
148 37142888.5037648 36212004.3444462 642411.60439287 574663.387706799
149 44655001.2405436 42974296.1930831 944349.908529784 822772.745923743
150 39081141.6324517 38205478.9853588 706021.388358314 641499.93411226
151 45428219.2503354 44038331.914746 919354.419458616 816545.921775131
152 40831678.2082712 39722339.5707774 768910.303424838 687656.105499119
153 46470366.2204034 44973211.4460408 977906.492397539 867098.993728695
154 40974457.9982604 40027253.7246472 773976.022187063 704440.529856705
155 43576198.4875294 42158107.1339847 884610.087582276 779803.44277788
156 43212965.5697827 41863874.0801212 847557.80342883 749778.744783071
157 40900333.3592574 39857258.8088666 760860.650791343 684708.334294697
158 39532793.5477191 38351319.7665484 759948.782852437 674063.520256519
159 38495690.7033674 37657524.4784319 689563.164253491 628093.925840765
160 42705655.8078636 41614099.8795786 815596.968324607 733504.427376691
161 44035139.8129095 42783539.3020925 915686.369112645 823229.728921119
162 37723754.071141 36797107.3345347 665008.134371867 598296.071896509
163 42821726.3107655 41964874.7663739 826475.337835902 763576.487969158
164 36350316.7016118 35455079.7268861 632906.463269123 568589.546263833
165 41806537.8918555 40449483.496002 812009.214004369 712548.217081146
166 41200043.775327 40273386.9730451 782468.268927173 714656.225736856
167 44488787.1586418 43084367.744599 902329.42729007 797750.892595939
168 40722176.901553 39413775.5504161 765944.497926058 670806.333112621
169 37871259.2379235 37033515.1255981 679311.329635869 618708.899502527
170 42671216.3799407 41374547.8107312 804703.31983102 708166.939404457
171 43576972.2221503 42313278.7084798 859237.521582936 766073.68619026
172 42519459.6846131 41448191.6337664 805012.584700808 724509.290911358
173 39334342.197463 38248075.2932836 740775.091267363 661192.764766999
174 42938611.8134539 41361383.7208864 869620.267214919 755344.071097531
175 42702851.0234878 41615809.4620996 821853.366223473 740563.850767674
176 44713848.9944814 43416624.2922714 889383.511921638 791220.308174168
177 48747385.6817877 47190332.1936165 1050196.17302516 932959.849193146
178 43544996.9493682 42440988.7578217 830135.27721512 747371.87484507
179 39338309.7933926 38472770.2007305 706899.751940005 643607.776950311
180 43362548.115441 42183249.0228763 813362.067633426 725232.033415894
181 43635957.8814302 42298088.5283522 869916.022807771 770037.621019422
182 39150079.9411615 37998686.542723 736404.994075279 653058.972421486
183 40425682.7566216 39253076.7708789 794855.599213786 710336.166835991
184 42634943.3590118 41568353.542926 782893.456768584 703392.367246934
185 47058426.7533596 45510040.5008534 962080.362604079 845478.806359419
186 42581546.1050617 41223687.8907419 853583.378571072 755296.593980413
187 45663403.5403595 44335399.821217 920072.260784006 820373.919067228
188 41631673.0182118 40365868.3432353 786358.228950886 694024.348521633
189 38364939.2516698 37305385.284976 702495.427941958 626637.414569237
190 41355946.7179116 40323794.3194386 745719.722914272 669010.713216719
191 42081322.4974359 40884153.7349267 838100.16438982 751238.764648459
192 45303478.6600959 43735660.7340135 911740.960169273 797015.477378388
193 37637023.2170736 36639092.1522557 683423.384402926 611037.189242375
194 47570178.7128366 46158879.8350488 944633.279425282 838593.799707867
195 44477556.8245127 43503790.0533951 907879.785873294 835459.169375614
196 38919545.6516766 37875451.6156573 679416.49092623 602420.500181551
197 41423177.0678237 40128832.4272254 821832.922335458 726381.343661321
198 45728471.7385903 43989168.7777039 936943.51792893 810877.544496286
199 44391578.3419677 43190432.5921693 840459.392468845 750808.745185246
200 42954648.4140865 41628413.069424 810597.309580604 711492.813570367
201 34919459.4891483 34165713.3560963 566756.850362647 512534.085702652
202 36674346.041221 35856721.0253369 669035.179723813 609564.022773431
203 43137267.0327789 42140895.9329324 829660.189824946 755564.690399301
204 39178695.177114 38073720.5319491 728059.734945248 647732.345603457
205 43618847.7829686 42208153.7674197 859140.678167368 755113.325230028
206 46056653.6030349 44311083.8543614 949703.442048056 821078.241462777
207 40870437.3366425 40149087.5865785 774688.011083575 721505.380278688
208 44612000.949728 43128768.3667518 925989.278284334 815423.719724412
209 40806413.4376008 39496694.553866 783528.091658787 688560.968955295
210 42550449.9201566 41278139.527004 850990.764625668 757736.025454319
211 41406007.9462716 40393107.6214127 752317.367288088 677947.361463801
212 43629864.651176 42478607.5052124 831657.684480842 747057.46148203
213 44738913.0189459 43213159.3614644 901761.04012915 790786.722511835
214 48345145.6703068 46802908.4367494 1017042.9744556 901542.308614909
215 44239560.5731588 42621618.97472 928565.477957833 811817.865542884
216 36254530.047598 35503609.6807173 611387.062352412 556977.434494841
217 46509683.0446182 45291055.1483617 991932.056903512 900078.701484261
218 41995195.2098905 40599698.8126859 812427.782110197 712267.66819841
219 42215268.2474505 41016498.354146 785091.272075054 696040.313227484
220 47995773.8920617 46300399.8329395 978621.855704772 851274.461639628
221 41712484.1125558 40684836.6052274 741753.520329387 667612.327781011
222 40978971.0948049 39985882.4779012 759928.902374538 686143.060185847
223 42736857.5195989 41870216.4308018 811454.03206223 747085.958389098
224 44127641.0431582 42796421.6899611 877351.133006179 779293.079747794
225 39487859.3034675 38572900.3650481 728790.049029855 661997.066864859
226 41613578.4661577 40436345.483033 798254.388799769 712390.580429159
227 41346528.9010619 40215066.0744615 765548.089299113 681959.469553853
228 45026733.4380438 43773019.0347814 908143.335050513 814668.832447109
229 41237782.1011686 40092793.7859925 774846.403378349 690965.217261364
230 43286556.2500325 42430098.5581397 842714.564054634 778274.17810331
231 44405939.6926641 43181338.1013452 866493.229650458 775152.209299213
232 41889422.4384625 40876224.8101743 769631.84200722 693875.126431246
233 48183995.3107031 46153379.3981019 1038529.88343069 890594.593916814
234 35972599.848761 35235979.2988821 610880.292177989 557738.862456643
235 42712770.0156296 41757626.0031397 825125.318765566 753880.07769998
236 38460929.7907773 37244847.9694701 714707.970895023 627336.843770276
237 41929288.7180696 40379826.8073063 739743.456010516 628021.530277526
238 40738486.548949 39713119.5893919 778150.965190831 703942.07749125
239 37771486.38265 36822214.0833249 698613.827592503 631306.889247911
240 42602470.9739006 41102722.4760395 810594.439800323 700362.881275765
241 41847348.4093651 40896958.5226923 801251.062982421 731011.890826601
242 39310674.7935763 38122011.5180873 690414.093353702 603595.559186081
243 40787835.1039156 39784054.9534532 720091.08676865 646031.103118104
244 45443071.1521034 44061688.8735067 929999.894587685 827916.341830806
245 43609659.1738167 42430887.2212536 851720.863985886 764489.516363043
246 39054057.5465111 38156331.7679643 737057.890284856 671968.433397123
247 41689768.5549992 40440158.8689845 800434.214724136 709572.728927124
248 43496660.9117577 42317624.8701654 829479.183707875 742977.571579101
249 43359957.5911892 42013259.7854383 879549.107449996 779298.555872437
250 46329834.6259699 44535610.5781483 1010063.94643003 879010.227703849
251 39875476.5174811 38652234.5483733 763105.79471341 674603.431344734
252 41347093.1082808 40445357.131156 767170.733628244 700594.637812273
253 34737067.8251434 33930635.5083977 612503.648508243 555914.530647494
254 40129080.3589047 39004175.44574 727529.276018899 646283.810374956
255 44494930.3351571 43533356.1616909 872937.673375295 801679.610924653
256 40253780.689209 39411380.7060044 718742.161212833 655930.275486095
257 42063557.5852808 41044296.4779898 829414.450663551 754029.686621872
258 42380000.4021855 41178429.5860319 863496.996076859 775634.801210388
259 43269172.4490938 42074746.7774059 841305.976657141 753813.755363193
260 43177185.8709224 41865754.3795352 865392.252375574 768990.431540053
261 41129049.255599 39770809.2917636 739988.320074035 640510.15051609
262 42561101.2332 41027617.018161 803318.107955242 692362.394908039
263 41080565.6231306 40056359.8615779 789270.048087101 714253.530144047
264 36211781.2902852 35196115.4767399 594920.106004407 521553.781012901
265 42588564.0734455 41342936.7450379 813966.252463702 720827.713093946
266 40661358.868424 39734223.5936067 770689.368397605 702458.484376559
267 46580910.8336252 45482002.086783 947744.103110239 865475.051786065
268 43979322.6686322 42862392.2437072 895650.998888213 813537.357130663
269 38637381.9828548 37597104.2670135 688369.372065154 612210.442771771
270 41406817.5987458 40276884.8769438 799993.093195481 716761.400620439
271 41867610.6427596 41057141.5387474 800770.621592434 739761.745599628
272 41546788.0842702 40216036.7496909 841778.897721517 745668.503662799
273 42404363.9192084 41322649.8476974 734132.058288523 654002.480976851
274 38159457.423937 37047085.3955521 742038.841341174 662811.140565773
275 45701748.2003065 44583325.8768584 934530.283853094 850651.702383489
276 42675574.21533 41457573.2925678 855630.828792709 766359.81702246
277 41612203.9741833 40555853.3290569 790687.389631186 712354.750578575
278 39954538.3993329 39009026.7581294 748805.52349948 679492.782126602
279 36915305.9682192 36203900.4894522 635966.078354986 584645.964917612
280 39951002.3576508 38913127.7087666 737217.81803451 660488.829565136
281 40623696.5095298 39545393.4621509 788101.222482423 709319.419308972
282 41697626.8054388 40526781.8822128 792910.982157265 707026.30197017
283 39304212.2558473 38253985.8820422 727699.250489577 651542.596972719
284 43774489.1118996 42093805.2480194 884273.818650248 760977.46471122
285 44795879.5347496 43255112.2463362 896313.841069562 784224.514157382
286 40986380.6121147 39851132.3198756 819853.910268852 737338.389723453
287 43231191.8862535 42136086.3384283 768698.317051911 688082.831221495
288 43706696.7843798 42574626.7191397 878875.465549094 795714.991168899
289 39759452.5198122 38462164.6689501 760587.302874087 667566.790807953
290 41376890.9173924 40134644.5169616 804439.055268411 713048.104196466
291 41993448.757266 40641128.345678 786982.862035278 688175.979278798
292 40231298.0092078 39124215.6818155 754935.762579409 674517.561128056
293 39626131.5397944 38669096.3874126 695418.381712892 624341.848854053
294 42061666.0130057 41145798.0439924 818319.224703223 750795.357345146
295 37964349.2827612 37038578.2302014 670138.620736315 602900.938858425
