ID imp_con imp_vac i_con i_vac
1 140598497.330614 140264554.233515 2570198.3212176 2543142.78095047
2 148646304.471574 148545000.62271 2440093.21257718 2432051.9142343
3 148470612.255257 148447542.343384 2709041.34066641 2707146.88152312
4 145962692.779355 145804899.74802 2761491.06578153 2748335.78771412
5 197341257.674077 197180792.417985 3218410.62591518 3205721.94948507
6 164237062.551138 164096638.88176 2584652.90941311 2573673.29265901
7 140286183.273937 139986226.797453 2633968.83078929 2609283.42537712
8 140431620.869638 140302365.144558 2523590.2987155 2512974.58037514
9 150376229.939665 150038237.638419 2675244.08102614 2647945.15686253
10 144220023.067308 143681451.548586 2891975.84161133 2846406.86061172
11 98833866.7426594 98519263.0164969 1705632.1568191 1679423.88422887
12 135247771.353467 135103350.901298 2316756.54106831 2305128.98099179
13 186677631.282808 186015996.52323 2854851.86990965 2803393.66370363
14 205232367.43625 205089265.587411 3306161.97302688 3294882.35300024
15 236184315.838966 235914304.770505 3702274.48585964 3681410.38552128
16 185234077.141115 184168814.018053 2786278.28917724 2705010.43559436
17 126210760.011355 125836314.280351 2658348.01082657 2626110.14876211
18 135005630.144809 134543175.902993 2529533.92329787 2491387.27588415
19 180627138.538288 180271318.034253 2851641.36287255 2823442.07722108
20 148979566.182326 148663065.415136 2546428.27378404 2521166.00190664
21 124650466.57602 124203885.517307 2588213.94023452 2550430.65357775
22 131690545.009134 131332219.507457 2656629.76429068 2626528.07378142
23 134085994.364927 133605881.619759 2438649.40663452 2399510.83659891
24 132904565.324193 132408254.302805 2918848.49795524 2875905.16946353
25 231393931.825982 230423014.460301 3525240.6872425 3449877.44863741
26 131956117.00792 131731839.026484 2774068.14163045 2754842.00701548
27 146475335.350439 146064432.25974 2451997.25766313 2419038.53912035
28 131092120.160458 130723044.275423 2778632.80020254 2747041.12660938
29 125289587.256253 124931926.440245 2836255.97269427 2804929.52911936
30 178293232.304134 178157374.720905 2838559.39775155 2827978.98806486
31 140841878.925543 140438784.853029 2830416.83076682 2796369.86038069
32 146926825.383404 146553958.085293 2571805.0701366 2541508.07886156
33 142669132.516322 142235123.112323 2452638.10630012 2417646.22653077
34 124384359.62362 124343413.031688 2536549.15226553 2533062.46880444
35 164913221.635274 164510522.331913 2782721.82787613 2750476.43360758
36 141811028.448576 141352151.510638 2724022.31853342 2685952.43515505
37 125748820.078554 125621985.24183 2673572.76635612 2662857.47889801
38 139377995.108157 139232515.864766 2776508.07874603 2764184.00981343
39 160726743.013258 160307413.129813 2672739.96374073 2639084.20818686
40 176890616.188203 176298529.93223 2942941.43570617 2896271.00558256
41 129723310.430055 129630474.949362 2826857.08728329 2818847.87439848
42 133462847.191761 133368779.126248 2625141.12387101 2617237.18511526
43 167984277.924493 167660957.05887 2628694.87847709 2603280.39165362
44 146269428.231832 145809486.041408 2746128.37319465 2708047.55069121
45 132863522.254435 132694374.446352 2668281.92022523 2653933.5276375
46 166010530.228119 165717953.386678 2800798.72834909 2777423.00600834
47 119305707.978418 118977970.952831 2442022.73718556 2413948.55587547
48 181802546.901552 181686798.55032 2894965.49634009 2885882.99654056
49 136434787.755034 136160938.380093 2433532.49710164 2411027.31658299
50 140769514.04881 140416505.553271 2442433.36600928 2413948.12620623
51 131255261.250413 131023358.828195 2710992.29322463 2691186.78886619
52 109256993.506276 108942456.537476 2022786.33697892 1996188.33140258
53 171032415.240809 170551205.999778 2677993.96467163 2640145.55591797
54 134463098.601447 134160344.627412 2880777.06253774 2854583.98862839
55 145851680.805384 145605452.792892 2434607.08355725 2415070.01396706
56 175688591.815623 175660817.734939 2920044.11642709 2917847.0540295
57 136221715.751998 135985471.973091 2449293.18454832 2429702.87505267
58 131378621.103046 130992988.07674 2791760.82827655 2758670.91767563
59 121863084.742511 121568311.003825 2606417.95578438 2580921.0103704
60 142147377.669598 142016263.371957 2637881.99427937 2627131.94832984
61 125242761.086036 125046193.406425 2635181.711639 2618313.2388125
62 136308740.11357 135933669.405309 2697874.90214005 2666284.66586139
63 133167570.034266 133112313.379548 2846859.81515406 2842102.93853807
64 136325835.573961 136276805.371341 2503113.63946948 2499081.36714876
65 132642020.999083 132412494.245633 2639266.87288013 2619894.88539808
66 147319416.661046 147132604.578919 2451977.25808794 2437026.73917712
67 133369867.286721 133337791.719633 2486303.97448274 2483675.60759489
68 181247541.434209 180847208.190225 2914456.04933351 2882903.88294645
69 148554942.891741 148108776.10568 2597763.41186016 2561742.61795962
70 149817245.826666 149498819.7018 2445465.68428249 2419904.41162337
71 137908613.571296 137490959.587084 2621980.83035937 2587359.6512727
72 140701405.884555 140606685.357772 2483264.02216627 2475589.68476885
73 211004920.158951 210350322.909785 3341793.50146027 3290697.65794819
74 125391556.455796 125032664.339235 2526971.32913985 2496468.66179093
75 216473148.997668 215666162.225803 3385881.79115409 3322700.77309153
76 33468827.8489173 33391554.732634 313522.588789003 309288.139637097
77 137510694.555852 137275186.301234 2700925.41614231 2681219.02784052
78 137585889.891707 137267402.839773 2639738.65554808 2613161.69234637
79 163227104.176846 163123557.693237 2571010.05953109 2562858.91643539
80 138312102.72059 138294199.509529 2459349.02381461 2457898.8090833
81 112825846.999268 112480402.303983 2222078.70264017 2192767.5710252
82 144512688.820337 144355728.733567 2710474.67711096 2697329.21771096
83 140374979.084132 139937766.204417 2776503.09184556 2739381.34475394
84 171823605.918346 171238425.0103 2736741.47501223 2690803.04799214
85 112826952.062329 112521618.385887 2129073.70054863 2103515.14788512
86 137725107.91949 137473661.572448 2275167.6402803 2254960.54117329
87 123468852.710267 123079502.492622 2630870.08533473 2597422.45994177
88 154892403.743963 154274337.021837 2773915.77634264 2723325.55814988
89 159007638.775846 158395321.277859 2649006.96665034 2600348.46013385
90 178795040.065783 178604387.048349 2786320.22000062 2771493.29172429
91 142611835.425261 142348290.180221 2377365.25099642 2356306.15885585
92 181985792.406123 181708571.900824 2956744.65576542 2934683.51647094
93 118736684.570223 118368011.145737 2490684.75249754 2459301.63930851
94 112728572.063107 112469319.371753 2073088.39035063 2051264.03177706
95 119998261.500188 119623167.694644 2430278.62414397 2398827.73081378
96 160536845.250797 160134433.113993 2595026.94607625 2563060.06686387
97 189144929.392434 188325883.940938 3056099.86802252 2991678.75312939
98 133928352.812936 133794867.103504 2848900.29791122 2837363.84804503
99 147897573.256607 147763768.349942 2584737.52904683 2573839.36727906
100 138602548.706511 138209274.06326 2447713.24825377 2415587.44878025
101 138380914.771222 138029231.605282 2802195.74127844 2772273.50103929
102 177930425.915444 177699833.744535 3003364.62166575 2984916.28890716
103 125474707.492964 125316178.532979 2536160.13516485 2522614.13107187
104 155554035.4882 155053057.41971 2661348.48142513 2621307.41466638
105 148352645.351172 147794731.529766 2964663.81939311 2917868.84351417
106 141283463.854787 140974633.459431 2826245.67556078 2800160.18751829
107 211077296.214659 210511516.974836 3334513.21149792 3290401.14793787
108 174141280.800114 174036979.426168 2816775.47516371 2808625.31125977
109 137297387.690932 136742267.099269 2862809.61787946 2815397.52230383
110 168408564.385948 168402131.735073 2764761.36003768 2764252.94824967
111 184667304.953644 184311073.494688 3033041.06095508 3004759.20540197
112 130698565.168024 130291963.152036 2746627.92270576 2711976.62662873
113 115993769.440324 115693824.611773 2252451.24072204 2227370.16961395
114 206039582.228443 205985895.846481 3301189.35973622 3297004.80288721
115 166288551.678351 165755507.719809 2697406.13830495 2655194.93161013
116 134404183.633955 134099630.35524 2585145.68529602 2559638.22764818
117 142884155.269332 142395636.24316 2646998.12652192 2606754.99855954
118 217088847.178414 216210390.609365 3487354.7774468 3418364.00293171
119 138395801.851893 137983787.249776 2591767.73988237 2558005.95930634
120 135698399.183741 135575365.988972 2343842.56367417 2333868.44762129
121 132237105.022601 132120316.22506 2560815.90005311 2551063.22371017
122 173293374.959986 172676753.931957 2904683.35701007 2855845.71893455
123 138386034.691127 137970639.601783 2590879.81966467 2556309.35858744
124 131513942.594323 131249408.916082 2652257.27236539 2630112.45399599
125 123086886.655551 122711426.404922 2718911.3453531 2685987.82291235
126 127254685.631441 127180900.639382 2086558.22056239 2080607.6565537
127 207205204.935985 207059050.712761 3297886.55930318 3286396.59257457
128 124003332.148247 123477488.692814 2520330.88903936 2475679.05021297
129 183253597.064123 182748864.36517 2983043.5573301 2943295.14409948
130 140301999.633342 139798669.851976 2807735.8896557 2765275.96660471
131 135355070.186675 135038106.284665 2928642.30663675 2901308.10968957
132 165079072.295432 164523523.138985 2673991.62506333 2629871.96208613
133 111575457.967253 111497229.18712 2139021.57928312 2132484.87055086
134 135098965.448837 134836971.459908 2289028.93467784 2267936.22061515
135 113462135.215192 113109907.355143 2284297.00105753 2254267.43472736
136 139390065.495077 139036301.882054 2352865.43895583 2324176.69933191
137 114900477.000011 114547999.671739 2398573.96258411 2368330.93875126
138 131352978.115707 131144580.830692 2721681.46790249 2703925.80550891
139 176006839.606016 175183954.354748 2782773.98566277 2718753.09121152
140 118730815.589032 118336166.161262 2400392.3478367 2366955.25697535
141 139250527.729059 138733992.90116 2554902.05120222 2512793.43538704
142 128831708.68074 128736372.387399 2685153.40792014 2676909.69378329
