ID imp_con imp_vac i_con i_vac
1 41540053.1622229 40763139.8888211 789578.344517386 732316.527215032
2 41287589.7500932 40635954.9151164 729324.626022774 685128.438318813
3 41804575.2176022 40938804.9441417 806435.161683481 741243.724129169
4 41876488.1255987 41027087.1220525 789537.450359495 728397.416415692
5 38526604.2944535 37844983.9610024 683884.24918977 638125.615985962
6 43271941.2878185 42554527.3855547 837909.176715042 780399.379365433
7 42316737.6692971 41396332.2613152 820867.987322201 752119.036134129
8 34422605.3980626 33996065.5623707 588975.841330755 559257.842338128
9 40308696.9561453 39488275.4568427 718663.55816278 664009.919707045
10 46528269.1784762 45512393.9463205 934108.364848385 856155.599603491
11 44072808.2232199 43011649.6351485 860311.002823309 784292.97423282
12 45322105.4188496 44086137.4190614 898253.882483825 812874.156694703
13 44252841.6642362 43668985.8338421 871176.20090767 821908.714775646
14 39832633.5403122 39261655.3095154 754335.165832548 712777.849839781
15 45282069.1589159 44283025.3516365 922838.869132866 845019.134295019
16 44406171.2877519 43674259.8456269 909698.927536065 849925.209122737
17 40934864.9799924 40414302.5932712 781771.943296042 741596.365657828
18 39114916.5380576 38698450.4711032 764445.650918943 728683.685735196
19 46102263.0729804 45225406.6311221 945084.098052146 871154.350988686
20 38997489.4869396 38434180.5513097 689935.519145555 650942.963728653
21 43133571.0312844 42377873.557855 823014.186757435 767728.634848945
22 39409958.1429643 38869143.2067072 706301.437764433 669355.505421149
23 38282001.2352576 37794453.6000876 715506.87595336 677654.231280952
24 41777803.0146495 40959726.4360784 819342.199045158 753699.093010171
25 38024460.1766749 37241221.053655 657351.976221359 607130.429014445
26 42352413.7879825 41472552.386289 806991.126056926 743445.100964398
27 43083826.367573 42225207.0781921 865147.695626533 793739.35540622
28 45373134.1479064 44345109.5511748 911421.470840465 835967.078164205
29 42506126.9796559 41570275.731321 811236.242901702 740694.565963393
30 42153888.1216023 41512138.6601228 784281.546844393 740213.500820825
31 44410295.312786 43638897.0088907 897032.559780437 834308.826353737
32 42969940.3625413 42186362.7222251 835953.591985993 776953.133491331
33 39745952.5484309 39263140.7142837 749588.233083697 712218.430475413
34 41924386.6480886 41260919.902848 767821.92549658 719678.89590176
35 44883242.2743867 43380837.6565254 856677.700679073 756832.553658198
36 40715707.0586927 40158450.3614657 781312.450310294 737062.467481516
37 42243081.8551826 41461280.8898167 815939.078166437 758390.438854308
38 41789636.8991317 41106971.5525828 815468.929285327 760456.557352069
39 46661895.3217076 45801284.037879 928740.013836177 858567.454688133
40 44209225.6019436 43723511.7227113 897297.355149819 853019.942213235
41 43727299.1900215 43024696.9977109 887765.549191992 829786.6875607
42 37296437.3596305 36735919.2390849 659217.767979142 619775.57600994
43 39884478.7737834 39157200.0369349 760031.402598207 708069.361624937
44 38273405.5584754 37735054.4656854 684295.030669771 645461.026116556
45 41430640.4023346 40355142.1310602 727755.579227912 659580.675384874
46 45717488.4015106 44726672.8154059 897485.233327753 820250.573860298
47 45413400.4688662 44516241.5195248 884950.8420713 816876.225056685
48 39780806.0504628 39138194.1656226 742906.236133483 696323.10757339
49 41086058.0388232 40206821.1126404 736076.991102468 676053.468767286
50 41589098.5904577 40979052.3492629 795511.0773115 748689.958506999
51 44260246.7939322 43457115.6274387 876098.471028649 814535.396650501
52 43079192.7753949 42223995.9035007 818699.573952763 753562.048757477
53 41870876.6697398 40845291.6425225 799951.510961651 726855.92665047
54 41016008.4782846 40028089.1545911 760187.164272952 691781.930103849
55 42192516.2429662 41366740.8140155 817149.8974757 753219.742258834
56 44946432.2396721 44087047.8747002 812673.384233556 752155.464478145
57 35483116.4693477 35080567.3205782 575663.767845528 548823.156739084
58 42953879.8705708 41988165.8654861 839739.869265233 767085.802387286
59 40588161.3486135 39579344.9189817 748338.967346991 678892.025874584
60 45576798.4591487 44521888.6069838 914787.186619819 833349.947564735
61 38572687.9517994 37793041.3919358 673061.832947032 623400.326533707
62 41902194.510258 41416603.2962476 858027.753662237 814408.884842771
63 40457542.879138 40022649.5359057 793324.704340144 757170.644462495
64 45230729.5656293 44239973.2845808 888871.103027957 814269.059776449
65 42309382.5493337 41017844.1374311 780175.03462388 695714.934905652
66 44901306.3412559 43952454.3794648 871815.487138354 801336.249331211
67 42708484.0683084 41998557.5927942 798656.815443086 746365.836333499
68 40532717.7196186 39871172.4807097 774701.867070944 724817.832893916
69 47563619.1363021 46777507.9938195 1012770.34533647 945459.783484254
70 43750324.3237 43073926.4492137 841401.442445161 788833.848626176
71 37810956.8900929 37274110.9191299 676164.347925036 638338.602835902
72 42433329.9509944 41509974.1712324 812964.505581097 746949.18721999
73 45674204.849474 44457518.5306191 899776.093505898 813593.489898048
74 44324006.111546 43639841.2644261 914619.484291263 856117.314729088
75 33239521.1989135 32929889.5651177 536215.711465164 515663.243900324
76 41576993.9455525 40765972.1238804 780787.52142 718982.946798433
77 43867183.1844866 43119800.732351 850861.092674652 793539.611116135
78 45200063.2851914 44297959.6088099 878188.722382001 812217.874492551
79 40798658.4664284 40121454.433314 775657.573782497 722325.0954517
80 36956348.358799 36535092.4897587 662991.81424213 633426.073370506
81 38098795.7043919 37606591.0675104 671986.070194475 638486.718875823
82 36611242.8992226 36210669.761609 638924.003652805 610277.759007496
83 44402287.7417651 43563483.2127923 890779.406151029 825550.714694035
84 38516140.2024893 38089068.218568 646347.602601535 616858.227613806
