ID imp_con imp_vac i_con i_vac
1 42709330.9333008 42362500.0783541 977940.723644121 952211.453149035
2 45851484.9960316 45360034.4995756 968690.645441087 931643.805802909
3 44722425.5688237 44205356.5577752 947688.080101087 908246.96929627
4 46132615.9462851 45650397.1683619 1002671.77983969 966411.172181444
5 40760377.8889648 40408670.6273919 843905.446855793 818283.37703323
6 43232406.4004104 42781162.9821016 883215.094639043 848981.476914515
7 48015107.0720229 47367514.0455709 989228.874252779 939545.988447997
8 42849258.1921236 42493541.7416372 866321.595464654 840627.786221668
9 41255816.3245474 40897384.7559047 795930.736585442 770158.577894368
10 44018425.7579968 43672220.6480995 900416.777289544 874675.741629787
11 43925367.3550307 43505350.3401908 946615.654830806 914942.494189086
12 49249569.5074282 48494558.1334513 1022646.3506905 965760.977889391
13 47672958.958242 47207741.0119328 1055250.96108292 1019444.61824557
14 41724793.2895709 41396202.5220647 894075.486955947 870644.711185926
15 41102326.4900387 40723703.3047888 793331.644039836 765546.619233632
16 36511656.4000791 36276996.0458211 692849.415160175 676479.618723404
17 44018245.0543646 43554339.7527338 876350.691964866 841948.978044086
18 41902029.7916068 41612583.2939339 903428.526197194 882131.263502028
19 46000384.0479395 45474789.0177963 999055.968352824 958968.210319256
20 42454871.7346362 42115266.6668872 937994.964932442 913002.306639585
21 43783677.7446815 43343327.0248825 851461.862591752 818530.363739992
22 49554772.8420548 49089031.9922323 1043858.5678118 1008682.73301335
23 42699403.1493584 42308904.4923016 951258.898033209 922036.038520114
24 41015066.0897542 40623951.5776776 847807.388578302 819664.989405403
25 42958366.4506608 42590216.46882 912545.657609797 885222.847639032
26 49119114.0911947 48493851.915398 1084758.4957224 1035332.50845958
27 42948167.1553036 42526986.6196919 865547.802968463 834479.250858333
28 46397741.9687345 46063561.8123038 1000734.56583745 975613.350313969
29 39068730.3354597 38699762.3879089 823565.433882603 796932.346052794
30 48173034.7017416 47584562.9304429 967710.02191139 921975.432698973
31 38221112.4194543 37900791.9445964 779224.254244958 756672.868873395
32 41926035.3430734 41580955.5860952 895036.242020488 869285.496412339
33 36650612.8152298 36405594.5014387 744656.426960309 727374.344288796
34 43345988.5042189 42773082.396912 849368.853299456 806956.218879477
35 42024717.1619365 41590005.7604702 828466.617844208 796786.036819542
36 48149594.7137995 47577930.4653969 1034830.07733628 990983.661198596
37 44239620.2602434 43897919.1573292 932386.654995532 906932.874283434
38 40241449.2680964 39875933.1467208 806454.64126437 779619.825441481
39 44858568.2402161 44427795.018893 1004347.62433386 970580.495426108
40 42203849.4389888 41878246.4141539 879036.672733038 854947.457428011
41 45799236.6667429 45388888.2358908 1004988.31194059 974498.01233905
42 47787015.9785796 47340695.1750195 1062432.53016593 1027861.96524423
43 40568148.1506261 40255463.9554991 893583.35372846 870852.97966492
44 44143079.2801718 43706161.6420512 934280.891963844 901979.126727546
45 43622203.9140743 43312600.7927792 919532.402906724 895937.583741475
46 37972896.2690946 37703075.9656243 765461.765366096 746451.616830298
