ID imp_con imp_vac i_con i_vac
1 165411064.340698 164443689.843446 3015430.13794249 2919351.19739138
2 146434787.143715 145422678.417908 2962241.17018259 2861987.0750454
3 194282159.99238 193066519.808511 3205533.20453752 3092630.85341587
4 147867126.575811 146207566.425111 2878243.98125364 2722172.51887352
5 121613854.933536 120658080.245153 2631774.53375382 2534684.13511029
6 161671868.009161 160863581.557549 3114894.41497145 3036147.77194893
7 159811324.694367 158855383.578082 3039277.32343491 2944957.18447729
8 143338204.47474 141645184.169487 2826276.19190219 2665251.27710384
9 111816185.321859 110816912.526695 2098712.53428063 2002658.65901364
10 161768870.976476 160822400.966141 2997830.2670457 2906572.29559193
11 154663335.755508 153441504.028014 3065330.14877786 2943742.28806976
12 160976916.157156 160019320.988335 3118348.35685571 3020841.14966168
13 120462673.030641 119237934.98561 2103325.62397368 1989870.35747277
14 182810666.505696 181385504.644099 3348371.49782722 3213962.51072369
15 148386622.248649 146960954.142216 2972306.69170618 2836347.38197138
16 209782220.911343 208064702.292529 3614536.38359943 3451777.11159635
17 105601384.233603 104819079.478221 2215995.41043003 2139131.388404
18 158941543.661837 157474073.958504 2911557.27302026 2774051.09494455
19 160105645.266338 159053605.60032 3045711.99824077 2943670.4473009
20 27042061.2820307 27041704.5027048 316626.091411296 316603.62442933
21 37079190.64622 37078222.6872246 433905.335344253 433846.112785553
22 114624908.311902 113482300.395682 2358073.32076542 2245824.72247605
23 160686554.460277 159918368.242511 3069989.65028801 2995137.19345661
24 152937823.249874 152038178.396813 2958934.64842794 2871316.85744885
25 149508150.204372 148131798.725475 2994857.32307957 2857701.7449789
26 136067213.812624 135221950.222466 2753513.07908957 2670276.78017176
27 175981438.889986 174562718.481882 3353609.95670901 3215371.96627244
28 79567682.5602941 78894728.6831268 1157114.71112905 1096792.74297649
29 154935827.366831 153956478.473907 3082717.18226091 2983612.8351144
30 124001355.436702 123175825.849116 2059234.27093071 1981754.11724135
31 144777905.243298 143931982.895167 3444522.17532327 3355009.39756354
32 107484839.449095 106634838.642801 1904766.07511619 1824803.98210438
33 159867800.223445 158842729.930081 2636279.77311979 2540962.52834516
34 127551489.653936 126447679.107925 2801324.15981197 2690666.41813345
35 133523209.413761 132457641.37715 2839545.34065051 2732863.04946272
36 156930511.084156 155776628.649294 2927537.85786593 2817233.6302693
37 118946114.197233 117972584.073828 2513791.85338164 2413542.91612089
38 167929211.197813 166879451.32941 3175125.85376225 3071125.78594317
39 182784684.969305 181420293.161175 3278437.91385913 3150092.85971151
40 167184574.43015 166140554.543952 3203250.36546562 3101159.34764186
41 170640411.174454 169605292.582801 3275957.3994308 3175172.94889374
42 135082826.749007 134225671.177607 3002593.5459717 2912932.10005477
43 125744790.981912 124817180.787125 2890077.11173425 2793690.47355792
44 156374685.045115 155223360.165406 3045161.48717578 2932882.58024548
45 163970453.376677 162525469.894528 3062959.91165094 2927634.15634364
46 38868470.4440504 38867045.4957756 442936.911289247 442848.275285601
47 98353754.431004 97469919.2663194 2259329.30420911 2165720.40264574
48 106987558.209667 106146733.174197 2111470.16725195 2030145.59293936
49 156436314.719165 155182373.580043 3165608.75223836 3043063.24787209
50 205444988.931976 203709314.136611 3631203.22187333 3469084.77929391
51 133753867.248803 132932565.389223 3171389.43936593 3087304.90215928
52 121065668.430387 119961839.116184 2774398.15084652 2657955.47581122
53 161191283.063925 160380324.306385 3161686.73356624 3082568.15068406
54 121101799.098473 120303365.380132 1804691.54704996 1733277.17440993
55 144945024.233574 143629276.166703 2707664.40978682 2579879.91913402
56 170122940.673118 168648883.242619 3143363.72536501 3003299.92002322
57 112738053.37186 111864645.901482 2391827.00665183 2303167.61773724
58 166581094.023911 165289900.652394 2961334.51817522 2842558.20996763
59 124451366.386609 123390562.926455 2420009.55235464 2314086.70025992
60 161671240.074831 160266732.530218 3077913.02600609 2945149.97188594
61 148040254.056017 146705465.917971 2843639.68774936 2716466.27080314
62 166134150.634401 164808994.052835 3058438.48298675 2934691.20257871
63 138835918.619414 137907830.597528 2963035.6621296 2869631.02909258
64 160527173.41311 159295270.695778 3113690.94399162 2996395.73570502
65 156054434.929104 155073724.268407 3117445.08361648 3018686.20861301
66 38268414.180582 38267913.8682639 368514.103401121 368483.141976469
67 161910044.02081 160379370.863873 3201368.11722511 3052009.8737511
68 171317536.26551 169811128.232848 3178799.87572522 3035759.13247341
69 139872153.146691 138677736.984299 2876479.41106459 2756126.71686728
70 148044066.990333 147283466.719089 2609157.89987809 2535020.55884773
71 184936025.320382 183932128.752819 3290872.20044293 3194948.90858819
72 129832417.803766 128856620.033668 2459508.65177974 2363179.15933946
73 224800065.544332 223284096.506021 3707747.94566426 3567454.77879199
74 63265623.7589437 62906911.3095266 1308019.80845568 1270428.04404773
75 152710409.203941 151630589.004666 2927418.37587723 2824465.21112454
76 176939722.527075 176049503.071292 3286075.59617864 3201936.15464988
77 138049212.559723 136816460.751164 2443698.53665851 2329538.26022966
78 112612081.236206 111765200.496615 2448153.41285861 2360860.03010074
79 204180031.425959 202696707.872509 3363447.48884835 3228092.4104881
80 145335646.348709 143857510.392693 2853613.46348117 2708681.31225523
81 154641430.316371 153242594.128759 2809716.79397639 2676805.3205026
82 209007908.789558 207498197.054089 3570952.10300534 3428375.14724812
83 131596607.022655 130441880.950238 2545511.47101284 2432345.39225684
84 152301518.147978 151403637.524328 3036256.42261042 2947075.63521058
85 127783779.959897 126962373.736938 3000482.29551204 2915859.10392263
86 137799386.757417 136952398.871907 2624216.19472178 2539887.4533989
87 172908773.769771 171657386.469983 2983629.66740067 2864701.8487376
88 236779898.110403 235067356.067677 3883731.98190687 3725453.2636292
89 131484689.031794 130676726.124791 2538577.34236311 2459653.57564545
90 128728576.300276 127749876.94946 2852508.81781018 2749523.88604175
91 190617940.109259 189138137.58505 3223024.00855427 3087363.17963143
92 182961136.771399 181466284.364448 3255427.7164279 3114589.42344785
93 104415814.201349 103687741.257505 2039735.49364144 1965707.50632085
94 130798127.68356 129835199.454365 2621786.35563583 2525785.20006076
95 153056303.270557 151839914.92286 2991521.77224821 2874714.439688
96 120811987.673243 119872006.497646 2363431.32789451 2266981.48026743
97 164558798.227723 163449287.833225 3081259.0481544 2975404.24660799
98 150769194.250517 149803442.350622 2985638.07552886 2890584.71265342
99 169496246.685669 168323983.042449 3097546.74465973 2983174.97514953
100 226231751.008099 224857777.920007 3591365.06043456 3464606.28111731
101 180094853.375708 178906797.733236 3250305.17432741 3138073.3399266
102 148421730.322795 147519506.474706 3057467.95606272 2967398.28431587
103 198343246.727581 196559345.325013 3407558.48692705 3247542.58910567
104 145368050.608636 143956665.103202 2597830.1740519 2465026.14933547
105 132202919.185963 131364508.273658 2474536.42643931 2391324.18198379
106 204061145.5243 202765356.231436 3490003.15981184 3367143.89456739
107 150522945.081842 149684350.217144 2938062.64519448 2858958.46682067
108 165464952.630524 164141983.113758 3168700.75903192 3042184.08101157
109 177006231.675116 176061469.00703 3273921.07304162 3180336.8623664
110 152703789.531368 151498276.311306 3031035.04717738 2908696.1450048
