ID imp_con imp_vac i_con i_vac
1 42709330.9333008 42345595.4702615 977940.723644121 952277.0483411
2 45851484.9960316 45333924.0051378 968690.645441086 931006.059903997
3 44722425.5688237 44313979.1622694 947688.080101088 917531.280913066
4 46132615.9462851 45583767.0049539 1002671.77983969 962871.718039904
5 40760377.8889648 40491304.7035154 843905.446855793 825353.329406015
6 43232406.4004104 42796612.5468499 883215.094639042 851118.572372348
7 48015107.0720229 47456225.3712956 989228.874252779 947317.779445503
8 42849258.1921236 42518850.2229798 866321.595464653 843577.218783199
9 41255816.3245474 40913009.0986636 795930.736585442 772577.881379781
10 44018425.7579968 43662920.1999017 900416.777289544 874928.673610219
11 43925367.3550307 43535465.5856566 946615.654830806 918297.678148215
12 49249569.5074282 48664945.5112376 1022646.3506905 979573.649237422
13 47672958.958242 47200873.2561859 1055250.96108292 1019850.35936783
14 41724793.2895709 41392825.9285276 894075.486955947 872108.240532156
15 41102326.4900387 40810878.9755296 793331.644039837 772863.313969476
16 36511656.4000791 36268921.727438 692849.415160176 677255.98738079
17 44018245.0543646 43614461.2970293 876350.691964866 847387.87674887
18 41902029.7916067 41581871.1597105 903428.526197194 880961.189968743
19 46000384.0479395 45484303.6415471 999055.968352824 960817.588195682
20 42454871.7346362 42208432.0400808 937994.964932441 920723.351378286
21 43783677.7446814 43322719.6938813 851461.862591751 818155.327588758
22 49554772.8420549 49018043.2015535 1043858.5678118 1004511.52043677
23 42699403.1493584 42384884.7407632 951258.898033209 928753.334969169
24 41015066.0897542 40763557.8696256 847807.388578303 830729.338882723
25 42958366.4506608 42663987.9816422 912545.657609796 891718.923167123
26 49119114.0911947 48485175.2447036 1084758.4957224 1035506.81633374
27 42948167.1553036 42635855.4971693 865547.802968463 843440.773603969
28 46397741.9687345 45965075.7091665 1000734.56583745 969405.678917453
29 39068730.3354597 38783544.3247687 823565.433882604 804264.36691534
30 48173034.7017416 47575864.7834971 967710.021911389 922227.558121373
31 38221112.4194543 37948503.6505512 779224.254244958 761566.850389829
32 41926035.3430734 41688990.2503881 895036.242020488 878044.984577602
33 36650612.8152298 36442121.8914776 744656.426960308 730951.703242249
34 43345988.5042189 42957391.2428841 849368.853299456 821594.369092593
35 42024717.1619365 41697147.7998112 828466.617844209 805641.146880521
36 48149594.7137995 47705082.9624742 1034830.07733628 1001619.65422095
37 44239620.2602434 43889506.0459809 932386.654995533 907386.704587659
38 40241449.2680964 39852910.8935074 806454.64126437 779255.494206107
39 44858568.2402161 44413986.0831412 1004347.62433386 970476.681544776
40 42203849.4389888 41871979.9951456 879036.672733039 855566.91565323
41 45799236.6667429 45425503.6022035 1004988.31194059 978179.6177953
42 47787015.9785796 47294273.8875758 1062432.53016594 1025553.49223325
43 40568148.1506261 40293197.6430887 893583.353728459 874899.669528807
44 44143079.2801718 43715494.4307214 934280.891963843 904010.933339038
45 43622203.9140743 43267387.9452263 919532.402906723 893386.576630261
46 37972896.2690946 37762130.8307959 765461.765366096 751572.423675934
47 42937411.2698676 42568852.1704851 904461.51412628 878156.902176006
48 48142985.3344063 47606225.1916966 992536.948467977 953896.356571925
49 51124329.0093232 50453422.3790503 1094058.44196535 1043130.70575537
50 43267716.4287826 42842283.5233217 849483.280004447 820411.348109481
51 41034696.974401 40740770.0285066 818333.151525276 797789.43869847
52 48491667.5407984 47899433.4464486 1038194.05676299 995350.154191045
