ID imp_con imp_vac i_con i_vac
1 165411064.340698 164571199.279447 3015430.13794249 2941164.57004462
2 146434787.143715 145890623.248661 2962241.17018259 2915715.63917568
3 194282159.99238 193263513.39182 3205533.20453752 3133739.08202722
4 147867126.575811 147052606.187564 2878243.98125364 2813880.5175696
5 121613854.933536 121034974.083753 2631774.53375382 2580824.29799785
6 161671868.009161 160890021.679155 3114894.41497145 3048609.33508492
7 159811324.694367 158944870.570838 3039277.32343491 2967109.83011066
8 143338204.47474 142110591.593879 2826276.19190219 2730481.26917502
9 111816185.321859 111173333.879178 2098712.53428063 2046950.59036691
10 161768870.976476 160900158.238366 2997830.2670457 2927279.47021726
11 154663335.755508 154156728.141835 3065330.14877786 3021238.85051707
12 160976916.157156 160221962.931997 3118348.35685571 3050767.79111108
13 120462673.030641 119864515.625511 2103325.62397368 2059439.40224553
14 182810666.505696 181909057.713013 3348371.49782722 3278281.17335757
15 148386622.248649 147508223.647812 2972306.69170618 2900790.92624529
16 209782220.911343 207966280.240721 3614536.38359943 3482054.11784765
17 105601384.233603 105264734.820269 2215995.41043003 2187576.63723476
18 158941543.661837 157928384.405931 2911557.27302026 2837327.4258665
19 160105645.266338 159485974.517354 3045711.99824077 2994730.92266842
20 27042061.2820307 27042061.2820307 316626.091411296 316626.091411296
21 37079190.64622 37079190.64622 433905.335344253 433905.335344252
22 114624908.311902 114102972.621831 2358073.32076542 2314132.85868602
23 160686554.460277 160061066.4211 3069989.65028801 3015986.43082573
24 152937823.249874 152251970.502774 2958934.64842794 2903720.91925116
25 149508150.204372 148867588.089919 2994857.32307957 2940361.4396228
26 136067213.812624 135465036.509549 2753513.07908957 2701844.87848756
27 175981438.889986 174782828.020784 3353609.95670901 3254824.29874123
28 79567682.5602941 79410053.1746767 1157114.71112905 1147416.18486054
29 154935827.366831 154286624.573362 3082717.18226091 3023133.19557073
30 124001355.436702 123539134.265272 2059234.27093071 2027530.77189941
31 144777905.243298 144277222.871707 3444522.17532327 3392562.2606607
32 107484839.449095 107183589.031765 1904766.07511619 1882013.21910715
33 159867800.223445 158766038.170354 2636279.77311979 2561242.76329834
34 127551489.653936 126858041.710044 2801324.15981197 2739001.40176723
35 133523209.413761 133156426.477976 2839545.34065051 2806759.46597513
36 156930511.084156 155857274.5624 2927537.85786593 2844000.32356778
37 118946114.197233 118622469.539611 2513791.85338164 2483633.28930675
38 167929211.197813 167234466.184844 3175125.85376225 3115646.98286318
39 182784684.969305 181941930.673785 3278437.91385913 3212748.27998129
40 167184574.43015 166493554.078441 3203250.36546562 3143807.92227442
41 170640411.174454 169501850.539332 3275957.3994308 3179088.20522073
42 135082826.749007 134630907.124881 3002593.5459717 2958803.98514857
43 125744790.981912 125184537.625566 2890077.11173425 2836696.6630705
44 156374685.045115 155519223.597029 3045161.48717578 2974941.77799416
45 163970453.376677 162966370.63196 3062959.91165094 2985514.10888215
46 38868470.4440504 38868470.4440504 442936.911289247 442936.911289247
47 98353754.431004 98065909.6911403 2259329.30420911 2230817.1869222
48 106987558.209667 106445209.794863 2111470.16725195 2069220.01479566
49 156436314.719165 155807049.622976 3165608.75223836 3109367.81724508
50 205444988.931976 203239207.782941 3631203.22187333 3467138.33732766
51 133753867.248803 133278523.519252 3171389.43936593 3125280.81410047
52 121065668.430387 120784252.603183 2774398.15084652 2746144.45478258
53 161191283.063925 159978756.948835 3161686.73356624 3061755.19678731
54 121101799.098473 120667443.31396 1804691.54704996 1776675.65089836
55 144945024.233574 144213591.377714 2707664.40978682 2649663.44133396
56 170122940.673118 169399910.583184 3143363.72536501 3085638.29193494
57 112738053.37186 112269443.920494 2391827.00665183 2349800.91877618
58 166581094.023911 165497941.873754 2961334.51817522 2882573.8859599
59 124451366.386609 124070387.60744 2420009.55235464 2385011.05776119
60 161671240.074831 160542701.511624 3077913.02600609 2990533.73681482
61 148040254.056017 146919152.52103 2843639.68774936 2756935.92607232
62 166134150.634401 165198957.54423 3058438.48298675 2985409.68844635
63 138835918.619414 138309229.227378 2963035.6621296 2914983.95915286
