ID imp_con imp_vac i_con i_vac
1 140598497.330614 140042664.458312 2570198.3212176 2536317.60366446
2 148646304.471574 148062104.990976 2440093.21257718 2407029.22132772
3 148470612.255257 147832875.085164 2709041.34066641 2670402.2122663
4 145962692.779355 145320616.751283 2761491.06578153 2721629.38236657
5 197341257.674077 196110419.733469 3218410.62591518 3143227.12472904
6 164237062.551138 163728336.194215 2584652.90941311 2555081.78139944
7 140286183.273937 139728606.052524 2633968.83078929 2599932.81028462
8 140431620.869638 139884686.987397 2523590.2987155 2489259.99827758
9 150376229.939665 149684843.640929 2675244.08102614 2634021.29283925
10 144220023.067308 143566248.522044 2891975.84161133 2850296.79847993
11 98833866.7426594 98483287.0726196 1705632.1568191 1686915.18285561
12 135247771.353467 134767358.024462 2316756.54106831 2290097.63010006
13 186677631.282808 185746673.870442 2854851.86990965 2799097.62187279
14 205232367.43625 204138618.090645 3306161.97302688 3239669.67234495
15 236184315.838966 234532949.864374 3702274.48585964 3599234.2141266
16 185234077.141115 184294027.283284 2786278.28917724 2728264.53365245
17 126210760.011355 125705669.977583 2658348.01082657 2625808.96751642
18 135005630.144809 134497135.300946 2529533.92329787 2499243.6070282
19 180627138.538288 179885594.942621 2851641.36287255 2808181.14239427
20 148979566.182326 148249635.744559 2546428.27378404 2503773.99819301
21 124650466.57602 124114559.496601 2588213.94023452 2553197.5541375
22 131690545.009134 131234526.210304 2656629.76429068 2627230.90355179
23 134085994.364927 133533708.289213 2438649.40663452 2404602.6766706
24 132904565.324193 132281930.110358 2918848.49795524 2877317.74765234
25 231393931.825982 229853492.174228 3525240.6872425 3426036.9649633
26 131956117.00792 131423756.468508 2774068.14163045 2738324.54551703
27 146475335.350439 145961267.309224 2451997.25766313 2422969.49043684
28 131092120.160458 130457346.67304 2778632.80020254 2735876.59467291
29 125289587.256253 124739670.138786 2836255.97269427 2800253.8017006
30 178293232.304134 177678636.159969 2838559.39775155 2803456.65074079
31 140841878.925543 140254453.475426 2830416.83076682 2792701.35220408
32 146926825.383404 146305166.278139 2571805.0701366 2535771.13700257
33 142669132.516322 142020022.83017 2452638.10630012 2415067.34375162
34 124384359.62362 123902937.676907 2536549.15226553 2507478.6227745
35 164913221.635274 164268582.960814 2782721.82787613 2744555.4379531
36 141811028.448576 141258949.118386 2724022.31853342 2689681.07648295
37 125748820.078554 125221510.000641 2673572.76635612 2638549.21572968
38 139377995.108157 138856676.877387 2776508.07874603 2742859.18770444
39 160726743.013258 159971638.165075 2672739.96374073 2630024.00920631
40 176890616.188203 176025653.162072 2942941.43570617 2892091.97448562
41 129723310.430055 129273064.772161 2826857.08728329 2797723.39036721
42 133462847.191761 132975207.065052 2625141.12387101 2594396.94406096
43 167984277.924493 167372641.114 2628694.87847709 2593879.7291239
44 146269428.231832 145642272.913456 2746128.37319465 2705095.19000111
45 132863522.254435 132392281.764463 2668281.92022523 2638971.90857418
46 166010530.228119 165282542.292367 2800798.72834909 2757631.64433294
47 119305707.978418 118765905.611227 2442022.73718556 2408561.20905766
48 181802546.901552 181075789.945339 2894965.49634009 2852004.72642038
49 136434787.755034 135977270.637002 2433532.49710164 2406654.39769692
50 140769514.04881 140355520.291406 2442433.36600928 2419435.7381037
51 131255261.250413 130604880.698731 2710992.29322463 2667831.99732431
52 109256993.506276 108844114.153372 2022786.33697892 1997921.83961917
53 171032415.240809 170353209.448325 2677993.96467163 2637100.34754102
54 134463098.601447 133879011.697887 2880777.06253774 2842394.42352273
55 145851680.805384 145343581.814797 2434607.08355725 2405279.23772285
56 175688591.815623 174872466.114485 2920044.11642709 2871895.17937517
57 136221715.751998 135732675.909938 2449293.18454832 2419294.48936456
58 131378621.103046 130803925.866443 2791760.82827655 2755144.54311933
59 121863084.742511 121449321.462836 2606417.95578438 2580096.71319911
60 142147377.669598 141516475.453173 2637881.99427937 2599574.52247492
61 125242761.086036 124743057.180697 2635181.711639 2602256.53404556
62 136308740.11357 135741483.243171 2697874.90214005 2662542.77882383
63 133167570.034266 132604398.409253 2846859.81515406 2810123.75774625
64 136325835.573961 135725213.22112 2503113.63946948 2468411.10852216
65 132642020.999083 132267165.034872 2639266.87288013 2615604.43307351
66 147319416.661046 146722250.240658 2451977.25808794 2417243.21767201
67 133369867.286721 132871832.487961 2486303.97448274 2456111.65166271
68 181247541.434209 180276512.859268 2914456.04933351 2854298.34599121
69 148554942.891741 147878104.894802 2597763.41186016 2558397.59506644
70 149817245.826666 149220108.218245 2445465.68428249 2411916.20553139
71 137908613.571296 137341942.097277 2621980.83035937 2586917.89793272
72 140701405.884555 140153178.351781 2483264.02216627 2452087.84776848
73 211004920.158951 209978850.806931 3341793.50146027 3280555.17917692
74 125391556.455796 124919801.230007 2526971.32913985 2497868.40378777
75 216473148.997668 215043183.722047 3385881.79115409 3296340.75959388
76 33468827.8489173 33468754.1921726 313522.588789003 313521.207372322
77 137510694.555852 136997120.180321 2700925.41614231 2670506.12054308
78 137585889.891707 137056952.130808 2639738.65554808 2606694.99751784
79 163227104.176846 162580539.713466 2571010.05953109 2536185.96845662
80 138312102.72059 137797594.831243 2459349.02381461 2429301.71906825
81 112825846.999268 112448317.037379 2222078.70264017 2199262.79320135
82 144512688.820337 143920721.567833 2710474.67711096 2672631.33856057
83 140374979.084132 139647436.193233 2776503.09184556 2729885.51149899
84 171823605.918346 171071573.602052 2736741.47501223 2692134.11288209
85 112826952.062329 112503407.837803 2129073.70054863 2109494.53749031
86 137725107.91949 137376645.397247 2275167.6402803 2254826.53782572
87 123468852.710267 122968522.698842 2630870.08533473 2598504.42306873
88 154892403.743963 154165522.933446 2773915.77634264 2727899.66509531
89 159007638.775846 158309638.825786 2649006.96665034 2607490.26413877
90 178795040.065783 178011384.897656 2786320.22000062 2740056.08148132
91 142611835.425261 142170422.323408 2377365.25099642 2352512.64988353
92 181985792.406123 181269215.819911 2956744.65576542 2914192.75066787
93 118736684.570223 118195682.942377 2490684.75249754 2456217.73197496
94 112728572.063107 112296176.888508 2073088.39035063 2046055.45935123
95 119998261.500188 119497862.344969 2430278.62414397 2398836.93524448
96 160536845.250797 159963307.607383 2595026.94607625 2562418.00824092
97 189144929.392434 188099042.354458 3056099.86802252 2994674.20298589
98 133928352.812936 133305107.958837 2848900.29791122 2808331.6963463
99 147897573.256607 147402307.450919 2584737.52904683 2555637.34297323
100 138602548.706511 138139103.233319 2447713.24825377 2419938.29872977
101 138380914.771222 137739668.985277 2802195.74127844 2762140.64199684
102 177930425.915444 176927965.568675 3003364.62166575 2942938.68538648
103 125474707.492964 124893361.149321 2536160.13516485 2497769.67233739
104 155554035.4882 154931942.469681 2661348.48142513 2625518.27959521
105 148352645.351172 147564340.874557 2964663.81939311 2913470.49642215
106 141283463.854787 140631786.040718 2826245.67556078 2784079.68714079
107 211077296.214659 210126993.397441 3334513.21149792 3278622.43325642
108 174141280.800114 173369372.790716 2816775.47516371 2768901.26432549
109 137297387.690932 136689180.9126 2862809.61787946 2822981.43909279
110 168408564.385948 167556248.760378 2764761.36003768 2713647.21234491
111 184667304.953644 183811666.393997 3033041.06095508 2982286.79795339
112 130698565.168024 130166744.314962 2746627.92270576 2713044.44685181
113 115993769.440324 115581214.196424 2252451.24072204 2227693.41253281
114 206039582.228443 204748503.818661 3301189.35973622 3224130.73256981
115 166288551.678351 165669176.513454 2697406.13830495 2661787.27243665
116 134404183.633955 133916484.133564 2585145.68529602 2556408.01157975
117 142884155.269332 142282633.212358 2646998.12652192 2609472.69128559
118 217088847.178414 215743374.588018 3487354.7774468 3406509.97007254
119 138395801.851893 137781569.074421 2591767.73988237 2555228.87273254
120 135698399.183741 135231453.964504 2343842.56367417 2316731.80609158
121 132237105.022601 131771441.318821 2560815.90005311 2532479.355339
122 173293374.959986 172542786.907666 2904683.35701007 2860312.80978931
123 138386034.691127 137850756.461715 2590879.81966467 2555815.22343424
124 131513942.594323 131065855.116956 2652257.27236539 2624910.75783926
125 123086886.655551 122579309.647805 2718911.3453531 2686081.33717603
126 127254685.631441 126836164.010986 2086558.22056239 2064166.2733561
127 207205204.935985 206282559.527546 3297886.55930318 3242269.45656832
128 124003332.148247 123421673.814864 2520330.88903936 2483365.14438171
129 183253597.064123 182314325.539589 2983043.5573301 2926380.0042406
130 140301999.633342 139737594.230681 2807735.8896557 2770952.03664091
131 135355070.186675 134756027.704569 2928642.30663675 2887359.91916271
132 165079072.295432 164413783.180302 2673991.62506333 2634554.73254933
133 111575457.967253 111103727.055154 2139021.57928312 2110748.94246842
134 135098965.448837 134661275.461306 2289028.93467784 2263756.91278461
135 113462135.215192 113086879.682766 2284297.00105753 2261525.64394943
136 139390065.495077 138904192.145739 2352865.43895583 2325979.71649933
137 114900477.000011 114457046.090433 2398573.96258411 2371524.84377951
138 131352978.115707 130878682.421059 2721681.46790249 2691576.14962702
139 176006839.606016 175197448.08713 2782773.98566277 2734460.52558922
140 118730815.589032 118170313.918728 2400392.3478367 2364381.69337905
141 139250527.729059 138632145.122111 2554902.05120222 2517804.10066817
142 128831708.68074 128311933.791703 2685153.40792014 2651996.5541463
143 136132369.935607 135635177.540107 2303335.13746479 2274534.13106473
144 162850692.80368 162087815.685901 2569012.39679156 2524348.94183042
145 156462487.714186 155663253.010343 2656841.25038938 2610319.12180799
146 146992093.468071 146458264.734642 2534527.00702235 2501097.18119478
147 138637375.137101 138086022.208046 2785695.79971664 2750613.3742722
148 143729693.909522 143041674.199791 2614614.03936883 2570838.12678753
149 139162617.085819 138674977.948732 2420404.64799029 2392041.15378008
150 155703374.152913 155146518.262853 2545078.31142241 2514145.74976585
151 120471239.734311 119900352.760706 2370363.18337164 2333878.11413225
152 222755997.707098 221358712.712747 3577086.35171434 3491357.23063732
153 151332345.764419 150734761.015166 2545044.66934644 2509541.16974018
154 158980398.976461 158367879.185786 2779274.08835102 2741667.97133881
155 164510136.920584 163756542.886243 2714050.78513299 2667311.07181848
156 175288861.045479 174482055.234841 2841037.33933557 2793505.52158321
157 144555065.45095 144000870.879477 2697646.44311748 2661754.92832944
