ID imp_con imp_vac i_con i_vac
1 41540053.1622229 40559348.5868539 789578.344517386 726209.28635339
2 41287589.7500932 40665346.2097632 729324.626022774 688607.372751868
3 41804575.2176022 40601772.0951696 806435.161683481 728112.460807753
4 41876488.1255987 41002797.7828513 789537.450359495 732408.504730209
5 38526604.2944535 37934635.2095242 683884.24918977 645740.552948451
6 43271941.2878185 42097892.3660124 837909.176715041 762337.662835828
7 42316737.6692971 41266887.232416 820867.987322201 751072.653385142
8 34422605.3980626 33709924.0065689 588975.841330755 544736.928726037
9 40308696.9561453 39690999.826763 718663.55816278 678631.32858259
10 46528269.1784762 45645054.1851258 934108.364848385 875232.861745454
11 44072808.2232199 43214795.9933736 860311.002823308 802688.744536779
12 45322105.4188496 44485828.7903053 898253.882483825 843009.585993826
13 44252841.6642362 43369364.8733532 871176.20090767 814515.281394678
14 39832633.5403122 39106190.3209397 754335.165832549 707787.759453425
15 45282069.1589159 44125879.8770258 922838.869132866 845450.785866427
16 44406171.2877519 43422736.454444 909698.927536065 846311.459653087
17 40934864.9799924 40047171.6447285 781771.943296042 724844.688065972
18 39114916.5380576 38036278.7000466 764445.650918943 698943.795553879
19 46102263.0729804 44662457.2432774 945084.098052146 852419.034523927
20 38997489.4869396 38300604.9871945 689935.519145555 645372.531896401
21 43133571.0312844 42309300.2694471 823014.186757435 768265.134142596
22 39409958.1429643 38785830.3816096 706301.437764433 665837.644449498
23 38282001.2352576 37489903.4924059 715506.875953359 665745.300726591
24 41777803.0146495 40512415.5690058 819342.199045159 738139.262706306
25 38024460.1766749 37265316.998821 657351.976221359 606732.179585136
26 42352413.7879825 41252670.7098046 806991.126056926 735210.289220964
27 43083826.367573 42015975.2927478 865147.695626533 796917.977276183
28 45373134.1479064 44229372.7867865 911421.470840465 835476.802540128
29 42506126.9796559 41454410.974782 811236.242901702 742003.76774865
30 42153888.1216023 41401704.6837411 784281.546844393 734989.464635693
31 44410295.312786 43386886.6119843 897032.559780437 829642.889917172
32 42969940.3625413 41945795.981442 835953.591985993 767582.62638556
33 39745952.5484309 38801521.4334066 749588.233083697 691178.32812534
34 41924386.6480886 40900610.05637 767821.92549658 700386.028103416
35 44883242.2743867 43979910.8809356 856677.700679073 796862.344223323
36 40715707.0586927 39764034.2038241 781312.450310294 721424.326866443
37 42243081.8551826 41426426.9909221 815939.078166437 762733.76318447
38 41789636.8991317 40644985.7752867 815468.929285327 742664.959535247
39 46661895.3217076 45448665.8822406 928740.013836177 851962.272640567
40 44209225.6019436 43136985.9477368 897297.355149819 831516.369069463
41 43727299.1900215 42766944.323314 887765.549191993 825552.084789896
42 37296437.3596305 36384570.758383 659217.767979142 602450.643887541
43 39884478.7737834 39166836.1795932 760031.402598206 713870.489932546
44 38273405.5584754 37425966.9179435 684295.030669771 629715.0962431
45 41430640.4023346 40668720.5732796 727755.579227912 676597.409367931
46 45717488.4015106 44320515.2075679 897485.233327752 805993.078567283
47 45413400.4688662 44402423.6807034 884950.8420713 819365.360720374
48 39780806.0504628 38911339.0761489 742906.236133483 687283.240654117
49 41086058.0388232 40350822.5803467 736076.991102467 688330.252954216
50 41589098.5904577 40476272.0126113 795511.0773115 724372.959139974
51 44260246.7939322 43301554.6186196 876098.47102865 812352.159362217
52 43079192.7753949 41896295.7571409 818699.573952763 743473.318605705
53 41870876.6697398 41041608.0162717 799951.510961651 745890.842899522
54 41016008.4782847 40119666.4166461 760187.164272952 699388.624602295
55 42192516.2429662 41129843.4246875 817149.8974757 746541.773397397
56 44946432.2396721 43803540.7902733 812673.384233557 739783.771801143
57 35483116.4693477 34828518.5733534 575663.767845528 533771.667320285
58 42953879.8705708 41940932.459452 839739.869265232 772199.382606928
59 40588161.3486135 39871867.1352649 748338.96734699 700528.190495067
60 45576798.4591487 44347097.7101748 914787.18661982 833985.245983215
61 38572687.9517994 37977955.501816 673061.832947032 633928.760553005
62 41902194.510258 40739485.587436 858027.753662237 786213.180544262
63 40457542.879138 39571335.641665 793324.704340143 738374.654739667
64 45230729.5656293 44044679.0389709 888871.103027956 811275.140134741
65 42309382.5493337 41549454.6129061 780175.034623881 728883.28954713
66 44901306.3412559 43906246.0501893 871815.487138354 806108.194078639
67 42708484.0683084 41846743.819032 798656.815443086 742136.704056593
68 40532717.7196186 39670407.7959225 774701.867070945 720562.945319941
69 47563619.1363021 46415966.0201425 1012770.34533647 938677.025996415
70 43750324.3237 42852912.2129039 841401.442445161 783319.336250716
