Outcome Prob Prob_low Prob_high
Success_SP 0.911436 0.909939 0.912933
Default_SP 0.038408 0.037371 0.039444
Failure_SP 0.010417 0.009854 0.010979
Death_SP 0.039740 0.038686 0.040792
Success_EP 0.930692 0.929803 0.931582
Default_EP 0.032819 0.032183 0.033454
Failure_EP 0.001208 0.001080 0.001336
Death_EP 0.035282 0.034625 0.035938
