Outcome Prob Prob_low Prob_high
Success_SP 0.874789 0.874465 0.875113
Default_SP 0.059716 0.059478 0.059955
Failure_SP 0.020652 0.020503 0.020800
Death_SP 0.044843 0.044632 0.045054
Success_EP 0.903585 0.903293 0.903877
Default_EP 0.061100 0.060861 0.061340
Failure_EP 0.004192 0.004124 0.004261
Death_EP 0.031122 0.030943 0.031301
