entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
di+ 	 3 	 65 	 70 	 0 	 1 	 0.001061007186 	 0.001061007186 	 0.001061007186 
di+ 	 3 	 70 	 75 	 0 	 1 	 0.000760357157 	 0.000760357157 	 0.000760357157 
di+ 	 3 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
di- 	 4 	 0 	 5 	 0 	 1 	 0.000423290297 	 0.000423290297 	 0.000423290297 
di- 	 4 	 5 	 10 	 0 	 1 	 0.000403188554 	 0.000403188554 	 0.000403188554 
di- 	 4 	 10 	 15 	 0 	 1 	 0.001447593101 	 0.001447593101 	 0.001447593101 
di- 	 4 	 15 	 20 	 0 	 1 	 0.001179763277 	 0.001179763277 	 0.001179763277 
di- 	 4 	 20 	 25 	 0 	 1 	 0.002206085625 	 0.002206085625 	 0.002206085625 
di- 	 4 	 25 	 30 	 0 	 1 	 0.002507822276 	 0.002507822276 	 0.002507822276 
di- 	 4 	 30 	 35 	 0 	 1 	 0.002375421919 	 0.002375421919 	 0.002375421919 
di- 	 4 	 35 	 40 	 0 	 1 	 0.002098730321 	 0.002098730321 	 0.002098730321 
di- 	 4 	 40 	 45 	 0 	 1 	 0.001902231132 	 0.001902231132 	 0.001902231132 
di- 	 4 	 45 	 50 	 0 	 1 	 0.001821897394 	 0.001821897394 	 0.001821897394 
di- 	 4 	 50 	 55 	 0 	 1 	 0.001800731227 	 0.001800731227 	 0.001800731227 
di- 	 4 	 55 	 60 	 0 	 1 	 0.001737048494 	 0.001737048494 	 0.001737048494 
di- 	 4 	 60 	 65 	 0 	 1 	 0.001910633837 	 0.001910633837 	 0.001910633837 
di- 	 4 	 65 	 70 	 0 	 1 	 0.001205049271 	 0.001205049271 	 0.001205049271 
di- 	 4 	 70 	 75 	 0 	 1 	 0.000864459870 	 0.000864459870 	 0.000864459870 
di- 	 4 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 0 	 5 	 0 	 1 	 0.000164889880 	 0.000164889880 	 0.000164889880 
dn 	 5 	 5 	 10 	 0 	 1 	 0.000157443195 	 0.000157443195 	 0.000157443195 
dn 	 5 	 10 	 15 	 0 	 1 	 0.000564369872 	 0.000564369872 	 0.000564369872 
dn 	 5 	 15 	 20 	 0 	 1 	 0.000336361680 	 0.000336361680 	 0.000336361680 
dn 	 5 	 20 	 25 	 0 	 1 	 0.000569503524 	 0.000569503524 	 0.000569503524 
dn 	 5 	 25 	 30 	 0 	 1 	 0.000641533758 	 0.000641533758 	 0.000641533758 
dn 	 5 	 30 	 35 	 0 	 1 	 0.000607219056 	 0.000607219056 	 0.000607219056 
dn 	 5 	 35 	 40 	 0 	 1 	 0.000536800842 	 0.000536800842 	 0.000536800842 
dn 	 5 	 40 	 45 	 0 	 1 	 0.000486684198 	 0.000486684198 	 0.000486684198 
dn 	 5 	 45 	 50 	 0 	 1 	 0.000466041105 	 0.000466041105 	 0.000466041105 
dn 	 5 	 50 	 55 	 0 	 1 	 0.000460447031 	 0.000460447031 	 0.000460447031 
dn 	 5 	 55 	 60 	 0 	 1 	 0.000444132998 	 0.000444132998 	 0.000444132998 
dn 	 5 	 60 	 65 	 0 	 1 	 0.000487879446 	 0.000487879446 	 0.000487879446 
dn 	 5 	 65 	 70 	 0 	 1 	 0.000309339037 	 0.000309339037 	 0.000309339037 
dn 	 5 	 70 	 75 	 0 	 1 	 0.000222399801 	 0.000222399801 	 0.000222399801 
dn 	 5 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ti+ 	 6 	 0 	 5 	 0 	 1 	 0.000025689683 	 0.000025689683 	 0.000025689683 
ti+ 	 6 	 5 	 10 	 0 	 1 	 0.000026265778 	 0.000026265778 	 0.000026265778 
ti+ 	 6 	 10 	 15 	 0 	 1 	 0.000089673264 	 0.000089673264 	 0.000089673264 
ti+ 	 6 	 15 	 20 	 0 	 1 	 0.000428785509 	 0.000428785509 	 0.000428785509 
ti+ 	 6 	 20 	 25 	 0 	 1 	 0.000974409106 	 0.000974409106 	 0.000974409106 
ti+ 	 6 	 25 	 30 	 0 	 1 	 0.001151063125 	 0.001151063125 	 0.001151063125 
ti+ 	 6 	 30 	 35 	 0 	 1 	 0.001102314894 	 0.001102314894 	 0.001102314894 
ti+ 	 6 	 35 	 40 	 0 	 1 	 0.000975530487 	 0.000975530487 	 0.000975530487 
ti+ 	 6 	 40 	 45 	 0 	 1 	 0.000879954116 	 0.000879954116 	 0.000879954116 
ti+ 	 6 	 45 	 50 	 0 	 1 	 0.000838249893 	 0.000838249893 	 0.000838249893 
ti+ 	 6 	 50 	 55 	 0 	 1 	 0.000825888313 	 0.000825888313 	 0.000825888313 
ti+ 	 6 	 55 	 60 	 0 	 1 	 0.000796740540 	 0.000796740540 	 0.000796740540 
ti+ 	 6 	 60 	 65 	 0 	 1 	 0.000871270749 	 0.000871270749 	 0.000871270749 
ti+ 	 6 	 65 	 70 	 0 	 1 	 0.000567560016 	 0.000567560016 	 0.000567560016 
ti+ 	 6 	 70 	 75 	 0 	 1 	 0.000391339307 	 0.000391339307 	 0.000391339307 
ti+ 	 6 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ti- 	 7 	 0 	 5 	 0 	 1 	 0.000150365984 	 0.000150365984 	 0.000150365984 
ti- 	 7 	 5 	 10 	 0 	 1 	 0.000156818495 	 0.000156818495 	 0.000156818495 
ti- 	 7 	 10 	 15 	 0 	 1 	 0.000528796378 	 0.000528796378 	 0.000528796378 
ti- 	 7 	 15 	 20 	 0 	 1 	 0.000466841801 	 0.000466841801 	 0.000466841801 
ti- 	 7 	 20 	 25 	 0 	 1 	 0.000824152015 	 0.000824152015 	 0.000824152015 
ti- 	 7 	 25 	 30 	 0 	 1 	 0.000964627866 	 0.000964627866 	 0.000964627866 
ti- 	 7 	 30 	 35 	 0 	 1 	 0.000931638669 	 0.000931638669 	 0.000931638669 
ti- 	 7 	 35 	 40 	 0 	 1 	 0.000831370779 	 0.000831370779 	 0.000831370779 
ti- 	 7 	 40 	 45 	 0 	 1 	 0.000752452225 	 0.000752452225 	 0.000752452225 
