entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
di+ 	 3 	 65 	 70 	 0 	 1 	 0.000000056309 	 0.000000056309 	 0.000000056309 
di+ 	 3 	 70 	 75 	 0 	 1 	 0.000000061673 	 0.000000061673 	 0.000000061673 
di+ 	 3 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
di- 	 4 	 0 	 5 	 0 	 1 	 0.000000036641 	 0.000000036641 	 0.000000036641 
di- 	 4 	 5 	 10 	 0 	 1 	 0.000000016828 	 0.000000016828 	 0.000000016828 
di- 	 4 	 10 	 15 	 0 	 1 	 0.000000067172 	 0.000000067172 	 0.000000067172 
di- 	 4 	 15 	 20 	 0 	 1 	 0.000000049565 	 0.000000049565 	 0.000000049565 
di- 	 4 	 20 	 25 	 0 	 1 	 0.000000060055 	 0.000000060055 	 0.000000060055 
di- 	 4 	 25 	 30 	 0 	 1 	 0.000000057377 	 0.000000057377 	 0.000000057377 
di- 	 4 	 30 	 35 	 0 	 1 	 0.000000055504 	 0.000000055504 	 0.000000055504 
di- 	 4 	 35 	 40 	 0 	 1 	 0.000000058019 	 0.000000058019 	 0.000000058019 
di- 	 4 	 40 	 45 	 0 	 1 	 0.000000063916 	 0.000000063916 	 0.000000063916 
di- 	 4 	 45 	 50 	 0 	 1 	 0.000000070978 	 0.000000070978 	 0.000000070978 
di- 	 4 	 50 	 55 	 0 	 1 	 0.000000075299 	 0.000000075299 	 0.000000075299 
di- 	 4 	 55 	 60 	 0 	 1 	 0.000000076447 	 0.000000076447 	 0.000000076447 
di- 	 4 	 60 	 65 	 0 	 1 	 0.000000082824 	 0.000000082824 	 0.000000082824 
di- 	 4 	 65 	 70 	 0 	 1 	 0.000000074478 	 0.000000074478 	 0.000000074478 
di- 	 4 	 70 	 75 	 0 	 1 	 0.000000081010 	 0.000000081010 	 0.000000081010 
di- 	 4 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
dn 	 5 	 0 	 5 	 0 	 1 	 0.000000014224 	 0.000000014224 	 0.000000014224 
dn 	 5 	 5 	 10 	 0 	 1 	 0.000000006549 	 0.000000006549 	 0.000000006549 
dn 	 5 	 10 	 15 	 0 	 1 	 0.000000026093 	 0.000000026093 	 0.000000026093 
dn 	 5 	 15 	 20 	 0 	 1 	 0.000000014108 	 0.000000014108 	 0.000000014108 
dn 	 5 	 20 	 25 	 0 	 1 	 0.000000015593 	 0.000000015593 	 0.000000015593 
dn 	 5 	 25 	 30 	 0 	 1 	 0.000000014769 	 0.000000014769 	 0.000000014769 
