Outcome Prob Prob_low Prob_high
Success_SP 0.806479 0.805647 0.807311
Default_SP 0.088695 0.088068 0.089321
Failure_SP 0.020989 0.020653 0.021325
Death_SP 0.083837 0.083223 0.084451
Success_EP 0.776930 0.776084 0.777776
Default_EP 0.102530 0.101880 0.103179
Failure_EP 0.012839 0.012578 0.013100
Death_EP 0.107701 0.107036 0.108367
