Outcome Prob Prob_low Prob_high
Success_SP 0.893933 0.891336 0.896534
Default_SP 0.031177 0.029637 0.032714
Failure_SP 0.007888 0.007087 0.008687
Death_SP 0.067003 0.064864 0.069137
Success_EP 0.889260 0.887500 0.891023
Default_EP 0.033955 0.032883 0.035025
Failure_EP 0.001350 0.001127 0.001574
Death_EP 0.075434 0.073934 0.076932
