Outcome Prob Prob_low Prob_high
Success_SP 0.882345 0.881014 0.883679
Default_SP 0.069430 0.068360 0.070499
Failure_SP 0.006517 0.006157 0.006877
Death_SP 0.041708 0.040842 0.042572
Success_EP 0.863434 0.862355 0.864513
Default_EP 0.073886 0.073040 0.074732
Failure_EP 0.000000 0.000000 0.000000
Death_EP 0.062680 0.061887 0.063473
